Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,4478.41,92.10%,6.29%,1.61%,17.29,97.03%
2,HDFC BANK LTD.,1409.32,94.74%,5.24%,0.02%,4.26,99.84%
3,Bank of Baroda,1116.59,92.54%,7.41%,0.06%,3.5,97.90%
4,Union Bank of India,1043.89,93.16%,6.69%,0.15%,3.77,86.01%
5,Punjab National Bank,955.82,90.92%,8.90%,0.18%,3.29,96.59%
6,Kotak Mahindra Bank,863.59,91.32%,8.58%,0.10%,2.81,87.86%
7,Axis Bank Ltd.,827.97,94.82%,5.13%,0.06%,2.3,95.70%
8,Canara Bank,795.21,92.55%,7.16%,0.29%,3.31,89.26%
9,ICICI Bank Ltd.,709.27,95.76%,4.20%,0.04%,1.91,98.23%
10,Bank of India,538.24,93.54%,5.93%,0.54%,2.5,77.09%
11,Indian Bank,513.28,93.41%,6.42%,0.18%,1.87,87.20%
12,Airtel Payments Bank Limited,500.76,89.46%,10.35%,0.19%,2.2,97.31%
13,India Post Payments Bank Limited,434.48,87.51%,11.24%,1.25%,1.84,81.21%
14,Indian Overseas Bank,244.05,91.68%,6.13%,2.19%,1.74,87.54%
15,Central Bank Of India,241.37,86.85%,12.22%,0.92%,1.1,84.13%
16,Federal Bank Ltd.,238.16,92.59%,7.10%,0.31%,0.69,97.63%
17,UCO Bank,220.3,92.16%,7.68%,0.16%,0.85,90.84%
18,Bank of Maharashtra,187.72,92.94%,6.64%,0.42%,0.76,76.93%
19,IDBI Bank Ltd.,186.35,93.67%,6.15%,0.18%,0.71,92.38%
20,INDUSIND BANK Ltd.,184.41,90.46%,9.32%,0.22%,0.77,90.97%
21,Fino Payments Bank Ltd.,173.06,92.76%,7.17%,0.07%,0.79,94.78%
22,Yes Bank Ltd.,165.55,85.65%,14.14%,0.21%,0.54,69.34%
23,Karnataka Bank,126.09,92.63%,6.87%,0.50%,0.48,84.10%
24,IDFC Bank Ltd.,99.72,92.41%,7.14%,0.44%,0.71,42.29%
25,Karur Vysya Bank,79.62,92.99%,6.72%,0.29%,0.31,93.92%
26,The Jammu & Kashmir Bank Limited,78.02,89.55%,5.02%,5.43%,1.82,13.78%
27,AU small Finance Bank,76.76,90.05%,9.88%,0.07%,0.29,94.71%
28,Bandhan Bank Limited,74.83,93.87%,5.29%,0.84%,0.34,94.37%
29,Tri O Tech Solutions Private Limited,69.79,100.00%,0.00%,0.00%,#N/A,#N/A
30,The South Indian Bank Limited,64.32,94.61%,5.25%,0.14%,0.18,98.72%
31,Ujjivan Small Finance Bank Limited,48.67,94.65%,4.98%,0.37%,0.19,86.84%
32,Punjab and Sind Bank,47.91,91.97%,7.83%,0.20%,0.22,92.65%
33,City Union Bank,47.69,93.04%,6.83%,0.14%,0.13,99.75%
34,Tamilnad Mercantile Bank Limited,44.76,92.22%,7.41%,0.38%,0.16,77.33%
35,Kerala Gramin Bank,38.22,92.47%,6.68%,0.85%,0.23,86.93%
36,Equitas Small Finance Bank,34.5,92.52%,7.45%,0.03%,0.12,97.83%
37,Andhra Pradesh Grameena Vikas Bank,32.92,85.99%,12.62%,1.39%,0.04,0.00%
38,Baroda UP Gramin Bank,31.14,92.41%,6.10%,1.48%,0,0%
39,Karnataka Gramin Bank,30.87,89.60%,8.27%,2.13%,0.36,79.23%
40,DBS Bank India Limited,30.17,92.60%,7.25%,0.15%,0.11,87.46%
41,Maharashtra Gramin Bank,29.85,85.61%,12.12%,2.27%,0.18,54%
42,Rajasthan Marudhara Gramin Bank,29.28,84.14%,10.95%,4.91%,0.37,26.64%
43,Saraswat Co-operative Bank,28.5,94.07%,5.72%,0.21%,0.1,88.12%
44,Jio Payments Bank Ltd,28.23,88.59%,10.18%,1.23%,0.26,99%
45,Standard Chartered Bank,27.97,95.45%,3.31%,1.24%,0.17,54%
46,ESAF Small Finance Bank Ltd,27.91,95.35%,4.55%,0.10%,0.1,96.78%
47,NSDL Payments Bank Limited,24.07,84.64%,11.55%,3.81%,0.37,3.94%
48,RBL Bank Ltd.,23.06,92.36%,7.33%,0.31%,0.1,76.65%
49,Andhra Pragathi Grameena Bank,21.92,78.27%,10.39%,11.34%,0.64,36.42%
50,Sarva Haryana Gramin Bank,21.22,93.23%,6.41%,0.36%,0.09,87.26%
