Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,2128.94,91.25%,6.30%,2.45%,14.35,95.90%
2,HDFC Bank Ltd,700.19,94.08%,5.23%,0.69%,4.32,92.33%
3,Bank of Baroda,509.92,88.84%,6.30%,4.86%,5.54,72.57%
4,Union Bank of India,487.38,91.84%,7.01%,1.15%,3.59,69.01%
5,ICICI Bank,426.32,95.23%,3.60%,1.17%,3.11,65.75%
6,Axis Bank Ltd,397.64,95.47%,4.24%,0.29%,1.93,85.19%
7,Paytm Payments Bank,386.5,95.96%,3.89%,0.15%,1.94,72.44%
8,Canara Bank,361,92.66%,6.85%,0.49%,2.62,93.23%
9,Punjab National Bank,354.8,93.44%,5.53%,1.03%,1.32,92.35%
10,Kotak Mahindra Bank,351.8,93.90%,4.83%,1.27%,1.24,80.49%
11,Bank of India,268.67,94.98%,4.81%,0.20%,1.57,73.26%
12,Indian Bank,206.07,93.35%,5.78%,0.88%,0.89,97.07%
13,Airtel Payments Bank,154.16,84.90%,14.55%,0.56%,2.89,55.90%
14,India Post Payment Bank,147.96,69.58%,17.68%,12.74%,1.21,77.04%
15,Federal Bank,131.59,93.45%,6.49%,0.06%,1.06,81.40%
16,Central Bank Of India,128.39,88.58%,9.87%,1.55%,0.57,99.15%
17,Indian Overseas Bank,104.59,90.82%,5.56%,3.62%,0.85,85.16%
18,IDBI Bank Limited,102.97,94.47%,4.14%,1.38%,0.62,82.76%
19,Bank of Maharashtra,93.22,92.99%,4.78%,2.23%,0.76,53.95%
20,UCO Bank,89.57,93.20%,6.10%,0.70%,0.47,80.82%
21,IndusInd Bank,72.7,92.84%,6.17%,0.99%,0.53,69.75%
22,Karnataka Bank,67.08,91.40%,7.76%,0.84%,0.34,86.90%
23,IDFC FIRST Bank,66.27,92.59%,5.95%,1.46%,0.31,82.55%
24,Fino Payments Bank,58.33,82.72%,16.02%,1.25%,0.39,67.43%
25,Yes Bank Ltd,48.46,92.60%,6.72%,0.68%,0.31,94.40%
26,Karur Vysya Bank,43.7,91.30%,7.29%,1.41%,0.27,49.34%
27,South Indian Bank,34,93.02%,5.39%,1.59%,0.15,89.88%
28,Bandhan Bank,33.77,89.66%,8.33%,2.01%,0.18,90.10%
29,City Union Bank,24.42,92.51%,6.51%,0.98%,0.14,84.01%
30,Equitas Small Finance Bank,23.33,85.78%,13.19%,1.03%,0.35,37.35%
31,Jammu and Kashmir Bank,22.34,88.91%,7.85%,3.24%,0.13,91.73%
32,Ujjivan Small Finance Bank,22.1,87.15%,7.48%,5.36%,0.16,48.84%
33,AU small Finance Bank,21.24,93.14%,5.81%,1.05%,0.09,88.71%
34,Tamilnad Mercantile Bank,20.67,91.71%,8.06%,0.24%,0.13,53.45%
35,DBS Bank Ltd,20.13,93.49%,4.71%,1.80%,0.07,98.94%
36,Punjab and Sind Bank,20.12,83.64%,9.77%,6.59%,0.17,67.49%
37,Standard Chartered,19.53,96.71%,2.74%,0.55%,0.08,82.40%
38,Citibank,19.24,94.91%,4.13%,0.97%,0.15,44.43%
39,Andhra Pradesh Grameena Vikas Bank,17.34,82.80%,13.36%,3.84%,0.1,93.76%
40,Maharashtra Gramin Bank,16.64,71.35%,23.55%,5.10%,0.2,31.55%
41,Pragathi Krishna Gramin Bank,16.46,84.14%,13.76%,2.10%,0.19,40.99%
42,Saraswat Bank,15.79,95.72%,3.58%,0.69%,0.16,41.02%
43,Kerala Gramin Bank,14.09,87.55%,11.16%,1.29%,0.07,83.59%
44,ESAF Small Finance Bank Ltd.,12.97,84.18%,13.67%,2.15%,0.11,84.66%
45,Rajasthan Marudhara Gramin Bank,12.33,81.74%,12.24%,6.03%,0.09,62.81%
46,Sarva Haryana Gramin Bank,11.05,76.50%,16.82%,6.68%,0.07,98.88%
47,Andhra Pragathi Grameena Bank,10.58,79.84%,14.92%,5.24%,0.07,70.93%
48,RBL Bank,10.28,88.19%,7.50%,4.30%,0.09,56.49%
49,Baroda UP Gramin Bank,8.57,82.44%,13.17%,4.40%,0.09,56.53%
50,Baroda Rajasthan Kshetriya Gramin Bank,7.68,85.52%,11.49%,2.99%,0.17,47.53%
