Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1540.38,90.30%,6.87%,2.83%,8.38,95.68%
2,HDFC Bank Ltd,496.36,94.08%,5.31%,0.61%,3.29,95.17%
3,Bank of Baroda,360.74,93.18%,6.51%,0.31%,1.98,98.94%
4,Union Bank of India,346.76,91.35%,8.09%,0.57%,3.01,66.96%
5,ICICI Bank,325.45,94.17%,4.63%,1.20%,3.06,63.74%
6,Paytm Payments Bank,316.18,95.53%,4.45%,0.02%,1.04,99.58%
7,Axis Bank Ltd,303.67,94.00%,5.25%,0.76%,1.39,77.11%
8,Punjab National Bank,261.09,93.09%,6.05%,0.86%,2.36,85.70%
9,Canara Bank,255.29,89.84%,8.12%,2.04%,4.63,80.40%
10,Kotak Mahindra Bank,232.63,91.70%,5.47%,2.83%,3.72,89.86%
11,Bank of India,202.42,94.25%,5.24%,0.51%,1.57,71.04%
12,Indian Bank,138.63,92.05%,7.13%,0.81%,1.2,78.64%
13,Central Bank Of India,109.91,91.78%,5.92%,2.31%,2.05,59.35%
14,Federal Bank,84.01,94.02%,5.69%,0.29%,0.49,90.07%
15,IDBI Bank Limited,78.15,94.76%,4.41%,0.83%,0.66,67.01%
16,Airtel Payments Bank,77.26,87.37%,11.68%,0.94%,0.7,88.24%
17,Bank of Maharashtra,71.17,93.46%,5.64%,0.90%,0.57,73.06%
18,Indian Overseas Bank,70.22,93.03%,5.64%,1.33%,0.8,76.12%
19,India Post Payment Bank,66.48,81.20%,17.29%,1.50%,0.6,67.74%
20,Yes Bank Ltd,61.17,93.61%,5.89%,0.50%,0.32,0.00%
21,UCO Bank,61.14,93.43%,6.13%,0.45%,0.51,74.33%
22,Karnataka Bank,51.3,90.45%,7.72%,1.83%,0.58,36.72%
23,IndusInd Bank,49.05,91.36%,8.37%,0.27%,0.29,93.93%
24,IDFC FIRST Bank,33.01,92.12%,6.57%,1.31%,0.38,42.68%
25,Karur Vysya Bank,32.79,92.57%,7.28%,0.15%,0.18,93.95%
26,Fino Payments Bank,31.73,82.51%,12.86%,4.63%,0.38,79.01%
27,Bandhan Bank,24.1,85.38%,11.79%,2.83%,0.19,17.92%
28,South Indian Bank,22.87,92.83%,6.43%,0.74%,0.19,97.12%
29,DBS Bank Ltd,19.33,94.56%,5.17%,0.27%,0.09,96.53%
30,City Union Bank,17.42,89.57%,9.61%,0.82%,0.14,82.07%
31,Equitas Small Finance Bank,16.93,84.38%,15.27%,0.35%,0.11,94.37%
32,Citibank,16.56,94.97%,4.45%,0.59%,0.07,94.86%
33,Standard Chartered,14.91,96.53%,2.90%,0.57%,0.1,96.28%
34,Ujjivan Small Finance Bank,14.48,90.92%,7.04%,2.04%,0.15,55.64%
35,Tamilnad Mercantile Bank,13.74,91.56%,8.08%,0.36%,0.08,56.86%
36,Andhra Pradesh Grameena Vikas Bank,13.57,76.90%,19.17%,3.92%,0.21,14.73%
37,AU small Finance Bank,13.42,93.48%,6.33%,0.19%,0.09,0.03%
38,Punjab and Sind Bank,13.28,86.25%,12.98%,0.77%,0.1,74.71%
39,Jammu and Kashmir Bank,13.27,86.01%,9.64%,4.35%,0.16,53.22%
40,Pragathi Krishna Gramin Bank,12.98,86.09%,11.30%,2.61%,0.21,56.54%
41,Maharashtra Gramin Bank,12.86,78.01%,16.47%,5.52%,0.22,17.55%
42,Saraswat Bank,11.82,94.77%,4.47%,0.76%,0.07,79.26%
43,Rajasthan Marudhara Gramin Bank,8.98,68.38%,22.66%,8.96%,0.22,10.80%
44,Andhra Pragathi Grameena Bank,8.73,67.91%,23.18%,8.91%,0.35,6.53%
45,Kerala Gramin Bank,8.23,87.77%,11.75%,0.48%,0.06,85.07%
46,ESAF Small Finance Bank Ltd.,7.96,86.83%,11.98%,1.19%,0.04,96.76%
47,Sarva Haryana Gramin Bank,7.33,85.43%,8.07%,6.50%,0.11,5.09%
48,RBL Bank,6.96,88.44%,10.50%,1.06%,0.06,72.50%
49,Karnataka Vikas Grameena Bank,6.71,72.65%,21.19%,6.16%,0.17,11.92%
50,Baroda Rajasthan Kshetriya Gramin Bank,6.28,84.59%,11.27%,4.14%,0.05,63.14%
