Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1709.44,92.06%,7.26%,0.68%,7.91,98.83%
2,HDFC Bank Ltd,570.34,94.55%,5.37%,0.08%,2.44,98.77%
3,Bank of Baroda,405.95,92.49%,6.45%,1.06%,2.25,90.55%
4,Union Bank of India,391,92.15%,7.54%,0.31%,2.1,88.40%
5,ICICI Bank,359.49,94.96%,4.66%,0.38%,1.71,89.64%
6,Axis Bank Ltd,328.07,92.97%,6.05%,0.97%,1.41,75.12%
7,Paytm Payments Bank,315.91,95.75%,4.20%,0.05%,0.95,97.56%
8,Punjab National Bank,289.34,91.83%,7.17%,1.00%,2.23,84.58%
9,Canara Bank,285.57,90.64%,7.89%,1.46%,2.75,86.45%
10,Kotak Mahindra Bank,270.94,91.92%,5.50%,2.58%,3.38,93.26%
11,Bank of India,220.54,93.85%,5.00%,1.14%,1.42,76.35%
12,Indian Bank,162.24,93.56%,5.81%,0.62%,0.89,90.44%
13,Central Bank Of India,118.89,76.28%,11.99%,11.73%,5.9,44.99%
14,Federal Bank,103.47,94.26%,5.60%,0.14%,0.44,98.74%
15,Airtel Payments Bank,102.04,86.79%,10.77%,2.43%,1.34,77.32%
16,Yes Bank Ltd,92.32,94.86%,4.97%,0.17%,0,0.00%
17,IDBI Bank Limited,86,95.04%,4.23%,0.73%,0.52,91.46%
18,India Post Payment Bank,84.67,79.18%,17.59%,3.23%,0.96,61.38%
19,Indian Overseas Bank,81.55,93.44%,5.54%,1.02%,0.55,95.45%
20,Bank of Maharashtra,77.46,93.20%,5.43%,1.36%,0.56,84.20%
21,UCO Bank,70.69,92.80%,6.35%,0.84%,0.5,74.32%
22,Karnataka Bank,57.65,81.72%,7.60%,10.68%,1.58,17.35%
23,IndusInd Bank,56.37,93.04%,6.64%,0.33%,0.29,97.26%
24,IDFC FIRST Bank,42.82,92.75%,5.68%,1.57%,0.32,54.88%
25,Fino Payments Bank,40.16,82.06%,14.63%,3.31%,0.57,61.82%
26,Karur Vysya Bank,36.87,91.30%,7.43%,1.27%,0.21,89.21%
27,Bandhan Bank,28.23,85.08%,12.44%,2.48%,0.26,77.34%
28,South Indian Bank,26.24,92.36%,6.74%,0.90%,0,0.00%
29,Equitas Small Finance Bank,20.88,82.94%,15.50%,1.56%,0.14,85.58%
30,City Union Bank,19.61,91.76%,7.19%,1.06%,0,0.00%
31,Citibank,17.63,95.76%,4.06%,0.18%,0,0.00%
32,Ujjivan Small Finance Bank,16.75,87.88%,8.39%,3.73%,0.19,64.85%
33,DBS Bank Ltd,16.62,95.16%,4.60%,0.24%,0,0.00%
34,Standard Chartered,16.55,95.63%,2.81%,1.56%,0,0.00%
35,Tamilnad Mercantile Bank,16.46,89.24%,7.87%,2.88%,0,0.00%
36,AU small Finance Bank,15.99,93.31%,6.44%,0.26%,0,0.00%
37,Punjab and Sind Bank,15.97,90.47%,9.37%,0.16%,0.01,0.00%
38,Andhra Pradesh Grameena Vikas Bank,15.7,65.92%,24.61%,9.46%,0,0.00%
39,Maharashtra Gramin Bank,15.5,55.41%,30.04%,14.55%,0,0.00%
40,Pragathi Krishna Gramin Bank,15.08,85.77%,11.38%,2.85%,0.01,0.00%
41,Jammu and Kashmir Bank,14.74,89.61%,8.06%,2.33%,0,0.00%
42,Saraswat Bank,12.72,95.39%,4.19%,0.42%,0,0.00%
43,Rajasthan Marudhara Gramin Bank,10.97,64.02%,24.95%,11.03%,0.01,0.00%
44,ESAF Small Finance Bank Ltd.,9.77,84.55%,13.31%,2.13%,0.01,0.00%
45,Kerala Gramin Bank,9.6,87.07%,11.28%,1.65%,0,0.00%
46,Andhra Pragathi Grameena Bank,9.17,78.15%,17.64%,4.21%,0.18,86.64%
47,Sarva Haryana Gramin Bank,8.75,81.14%,10.97%,7.89%,0.01,0.00%
48,RBL Bank,7.99,89.82%,8.06%,2.12%,0.01,0.00%
49,Telangana Grameena bank,7.27,64.67%,20.32%,15.00%,0,0.00%
50,Karnataka Vikas Grameena Bank,6.78,83.41%,14.24%,2.34%,0.01,0.00%
