Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1972.78,92.21%,6.59%,1.19%,8.78,94.48%
2,HDFC Bank Ltd,660.29,94.45%,5.34%,0.22%,0.97,96.96%
3,Bank of Baroda,478.92,93.37%,6.32%,0.30%,0.96,96.10%
4,Union Bank of India,446.71,91.40%,7.44%,1.16%,0.73,73.30%
5,ICICI Bank,401.27,94.75%,4.76%,0.49%,0.91,90.59%
6,Axis Bank Ltd,371.17,95.68%,4.28%,0.05%,0.93,92.66%
7,Paytm Payments Bank,362.51,95.98%,4.00%,0.02%,0.98,98.24%
8,Punjab National Bank,333.94,93.61%,5.71%,0.68%,0.82,82.38%
9,Kotak Mahindra Bank,325.73,93.70%,6.13%,0.17%,0.79,79.42%
10,Canara Bank,323.12,93.44%,6.40%,0.16%,0.92,91.97%
11,Bank of India,252.93,94.31%,4.62%,1.07%,0.71,70.67%
12,Indian Bank,185.22,93.46%,5.58%,0.96%,0.8,80.19%
13,Airtel Payments Bank,140.51,77.77%,17.18%,5.05%,0.72,71.61%
14,Central Bank Of India,119.96,86.20%,9.42%,4.38%,0.34,33.63%
15,Federal Bank,118.98,94.60%,5.22%,0.18%,0.97,96.56%
16,India Post Payment Bank,114.22,81.27%,16.10%,2.63%,0.81,80.98%
17,IDBI Bank Limited,97.92,94.71%,4.09%,1.20%,0.84,83.61%
18,Indian Overseas Bank,94.16,93.87%,5.20%,0.93%,0.96,95.92%
19,Yes Bank Ltd,92.51,96.21%,3.62%,0.17%,0,0.00%
20,Bank of Maharashtra,88.07,93.60%,5.14%,1.25%,0.91,90.59%
21,UCO Bank,82.78,92.09%,6.14%,1.76%,0.47,46.95%
22,IndusInd Bank,67,93.82%,5.82%,0.36%,0.94,93.75%
23,Karnataka Bank,62.54,87.04%,7.32%,5.63%,0.29,29.23%
24,IDFC FIRST Bank,55.62,91.05%,5.26%,3.68%,0.47,46.81%
25,Fino Payments Bank,54.25,82.71%,15.11%,2.18%,0.74,73.71%
26,Karur Vysya Bank,40.45,92.21%,7.44%,0.35%,0.97,96.94%
27,South Indian Bank,30.59,93.64%,6.22%,0.14%,0.96,96.12%
28,Bandhan Bank,30.23,90.43%,7.22%,2.35%,0.92,92.03%
29,City Union Bank,22.2,92.56%,6.56%,0.88%,0.91,90.99%
30,Equitas Small Finance Bank,22.13,81.26%,13.91%,4.83%,0.45,44.77%
31,Ujjivan Small Finance Bank,19.94,88.35%,6.67%,4.98%,0.59,59.24%
32,Jammu and Kashmir Bank,19.69,90.14%,6.73%,3.14%,0.76,75.74%
33,AU small Finance Bank,19.57,93.32%,6.25%,0.42%,0.8,79.90%
34,Punjab and Sind Bank,18.58,78.83%,14.05%,7.13%,0.22,22.27%
35,Citibank,18.52,95.42%,4.20%,0.38%,0.98,97.54%
36,Tamilnad Mercantile Bank,18.51,91.96%,7.68%,0.36%,0.74,74.23%
37,Standard Chartered,18.42,95.89%,2.74%,1.37%,0.95,94.98%
38,DBS Bank Ltd,17.23,94.46%,4.79%,0.75%,0.96,96.03%
39,Maharashtra Gramin Bank,17.07,61.62%,28.36%,10.03%,0.2,19.53%
40,Andhra Pradesh Grameena Vikas Bank,15.18,77.12%,16.65%,6.23%,0.19,19.43%
41,Pragathi Krishna Gramin Bank,15.16,86.80%,12.30%,0.90%,0.84,84.10%
42,Saraswat Bank,15.11,95.46%,4.00%,0.54%,0.83,82.85%
43,Rajasthan Marudhara Gramin Bank,12.45,71.92%,12.81%,15.27%,0.09,8.64%
44,Kerala Gramin Bank,11.85,88.50%,11.14%,0.36%,0.95,95.24%
45,ESAF Small Finance Bank Ltd.,10.85,89.61%,8.71%,1.68%,0.87,87.40%
46,Andhra Pragathi Grameena Bank,10.11,73.28%,16.67%,10.04%,0.43,43.37%
47,RBL Bank,9.75,91.83%,7.37%,0.80%,0.89,88.71%
48,Sarva Haryana Gramin Bank,9.22,86.58%,9.20%,4.22%,0.85,85.18%
49,Baroda Rajasthan Kshetriya Gramin Bank,7.84,81.13%,10.56%,8.32%,0.28,27.94%
50,Baroda UP Gramin Bank,7.82,84.01%,10.99%,5.01%,0.46,46.32%
