Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1951.85,92.82%,6.30%,0.88%,8.51,80.40%
2,HDFC Bank Ltd,649.64,94.68%,5.16%,0.16%,2.29,99.46%
3,Bank of Baroda,475.43,93.69%,6.17%,0.15%,1.69,99.38%
4,Union Bank of India,447.27,92.47%,7.07%,0.46%,2.04,78.57%
5,ICICI Bank,396.06,94.60%,4.75%,0.65%,2.91,67.84%
6,Axis Bank Ltd,384.42,96.02%,3.83%,0.15%,2.04,67.34%
7,Paytm Payments Bank,364,96.01%,3.82%,0.17%,1.66,93.60%
8,Canara Bank,332.82,92.47%,6.32%,1.21%,1.34,72.91%
9,Punjab National Bank,328.34,92.48%,5.61%,1.90%,1.21,77.31%
10,Kotak Mahindra Bank,325.86,94.62%,5.07%,0.31%,1.18,71.21%
11,Bank of India,249.69,94.97%,4.38%,0.65%,1.1,69.29%
12,Indian Bank,188.36,93.72%,5.57%,0.71%,0.98,70.54%
13,Airtel Payments Bank,140.25,81.21%,13.36%,5.43%,1.78,45.26%
14,Federal Bank,122.16,93.88%,5.53%,0.59%,0.94,74.30%
15,India Post Payment Bank,121.93,81.41%,15.23%,3.36%,1.02,73.79%
16,Central Bank Of India,117.72,88.09%,8.95%,2.96%,0.47,91.37%
17,Indian Overseas Bank,95.82,93.58%,5.27%,1.15%,0.49,94.66%
18,IDBI Bank Limited,95.5,94.39%,4.27%,1.35%,0.52,75.92%
19,Bank of Maharashtra,87.16,93.61%,4.69%,1.70%,0.87,47.79%
20,UCO Bank,83.44,91.91%,5.84%,2.26%,0.6,94.87%
21,Yes Bank Ltd,80.19,94.81%,4.34%,0.85%,0.3,93.50%
22,INDUSIND BANK,66.86,93.88%,5.68%,0.44%,0.34,80.08%
23,Karnataka Bank,62.76,85.92%,7.53%,6.55%,0.3,83.33%
24,IDFC FIRST Bank,56.3,89.48%,5.99%,4.53%,1.01,29.94%
25,Fino Payments Bank,54.03,81.88%,16.09%,2.03%,0.43,47.55%
26,Karur Vysya Bank,40.64,91.68%,7.13%,1.19%,0.26,56.68%
27,South Indian Bank,31.42,93.95%,5.87%,0.18%,0.24,93.38%
28,Bandhan Bank,31.07,90.25%,6.53%,3.22%,0.11,98.27%
29,City Union Bank,22.51,92.79%,6.28%,0.93%,0.15,64.69%
30,Equitas Bank,21.51,86.38%,13.09%,0.53%,0.1,96.99%
31,Jammu and Kashmir Bank,21.45,87.84%,6.64%,5.52%,0.09,95.31%
32,Ujjivan Small Finance Bank,19.93,89.69%,6.55%,3.76%,0.09,88.48%
33,AU small Finance Bank,19.43,93.71%,5.94%,0.35%,0.17,62.66%
34,Maharashtra Gramin Bank,19.41,51.76%,42.89%,5.35%,0.09,93.90%
35,Tamilnad Mercantile Bank,18.78,91.64%,7.21%,1.15%,0.23,27.49%
36,Standard Chartered,18.34,95.99%,2.59%,1.42%,0.07,87.00%
37,Punjab and Sind Bank,18.14,88.48%,9.83%,1.68%,0.07,76.50%
38,Citibank,17.81,95.45%,4.07%,0.48%,0.06,95.73%
39,DBS Bank India Limited,17.33,95.17%,4.73%,0.11%,0.09,53.62%
40,Pragathi Krishna Gramin Bank,15.27,86.54%,12.67%,0.78%,0.2,21.84%
41,Andhra Pradesh Grameena Vikas Bank,14.66,85.56%,12.28%,2.16%,0.12,35.40%
42,Saraswat Bank,14.61,95.83%,3.57%,0.60%,0.04,93.96%
43,Kerala Gramin Bank,12.77,88.69%,10.93%,0.37%,0.09,45.06%
44,Rajasthan Marudhara Gramin Bank,11.61,79.24%,11.94%,8.83%,0.07,94.36%
45,ESAF Small Finance Bank Ltd.,11.29,89.50%,9.00%,1.50%,0.1,42.87%
46,RBL,9.68,90.98%,7.19%,1.83%,0.05,87.11%
47,Andhra Pragathi Grameena Bank,9.67,77.93%,17.06%,5.01%,0.1,41.25%
48,Sarva Haryana Gramin Bank,9.11,87.10%,10.98%,1.92%,0.05,99.45%
49,Baroda UP Gramin Bank,7.82,82.96%,12.50%,4.53%,0.13,35.54%
50,Baroda Rajasthan Kshetriya Gramin Bank,7.4,83.30%,10.93%,5.77%,0.07,43.80%
