Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1644.91,90.26%,7.31%,2.44%,6.99,92.47%
2,HDFC Bank Ltd,532.02,94.20%,5.64%,0.16%,2.02,99.46%
3,Bank of Baroda,387.88,92.71%,6.70%,0.59%,2.42,89.41%
4,Union Bank of India,370.84,91.52%,8.15%,0.34%,1.82,76.68%
5,ICICI Bank,342.09,94.87%,4.86%,0.27%,1.27,93.47%
6,Paytm Payments Bank,323.77,95.66%,4.32%,0.02%,0.87,99.47%
7,Axis Bank Ltd,316.26,95.52%,4.31%,0.17%,1.15,84.06%
8,Punjab National Bank,277.91,93.01%,6.30%,0.69%,1.58,91.79%
9,Canara Bank,266.56,88.78%,8.43%,2.80%,2.72,82.93%
10,Kotak Mahindra Bank,247.84,92.40%,5.56%,2.03%,2.45,93.51%
11,Bank of India,215.62,94.52%,5.25%,0.23%,0.92,89.37%
12,Indian Bank,150.62,92.45%,6.76%,0.79%,0.84,77.52%
13,Central Bank Of India,115.32,91.43%,5.97%,2.60%,1.62,56.85%
14,Federal Bank,93.99,93.29%,6.05%,0.66%,0.44,90.03%
15,Airtel Payments Bank,87.23,85.92%,12.33%,1.75%,0.67,79.05%
16,IDBI Bank Limited,83.34,94.58%,4.95%,0.47%,0.37,92.21%
17,India Post Payment Bank,78.09,76.77%,21.86%,1.36%,0.47,71.11%
18,Indian Overseas Bank,76.31,93.81%,5.94%,0.25%,0.3,99.06%
19,Bank of Maharashtra,75.56,93.87%,5.53%,0.60%,0.33,92.23%
20,Yes Bank Ltd,68.85,92.20%,7.42%,0.38%,0.09,0.00%
21,UCO Bank,66.2,92.44%,6.39%,1.17%,0.48,66.56%
22,Karnataka Bank,55.32,86.83%,7.32%,5.85%,0.82,20.35%
23,IndusInd Bank,52.03,91.19%,7.86%,0.95%,0.32,76.78%
24,IDFC FIRST Bank,37.03,91.50%,6.28%,2.22%,0.33,36.64%
25,Karur Vysya Bank,35.28,91.70%,7.90%,0.40%,0.13,89.39%
26,Fino Payments Bank,34.39,84.30%,12.85%,2.85%,0.38,61.58%
27,Bandhan Bank,26.8,80.41%,16.72%,2.87%,0.16,60.61%
28,South Indian Bank,24.34,91.97%,5.47%,2.56%,0.18,91.10%
29,Equitas Small Finance Bank,18.85,83.81%,15.22%,0.97%,0.11,78.92%
30,City Union Bank,18.71,90.94%,8.13%,0.93%,0.08,92.19%
31,Citibank,17.12,94.76%,4.54%,0.70%,0.04,99.80%
32,DBS Bank Ltd,16.12,95.24%,4.65%,0.11%,0.05,95.20%
33,Ujjivan Small Finance Bank,15.98,86.86%,7.48%,5.66%,0.25,33.14%
34,Standard Chartered,15.74,96.48%,3.08%,0.44%,0.08,97.76%
35,Jammu and Kashmir Bank,15.3,86.08%,9.57%,4.35%,0.17,57.38%
36,Tamilnad Mercantile Bank,14.92,90.69%,7.99%,1.32%,0.1,31.10%
37,Andhra Pradesh Grameena Vikas Bank,14.75,72.60%,16.91%,10.49%,0.44,0.00%
38,AU small Finance Bank,14.66,92.79%,6.48%,0.73%,0.1,0.04%
39,Punjab and Sind Bank,14.58,88.87%,10.77%,0.36%,0.08,86.89%
40,Pragathi Krishna Gramin Bank,14.32,82.03%,11.60%,6.37%,0.26,45.20%
41,Maharashtra Gramin Bank,13.74,76.12%,18.64%,5.23%,0.11,20.17%
42,Saraswat Bank,12.28,94.59%,4.12%,1.30%,0.06,67.34%
43,Rajasthan Marudhara Gramin Bank,9.25,75.96%,14.11%,9.93%,0.27,0.00%
44,ESAF Small Finance Bank Ltd.,9.11,81.98%,17.02%,1.00%,0.03,82.07%
45,Andhra Pragathi Grameena Bank,9.05,71.42%,19.62%,8.96%,0.29,6.14%
46,Kerala Gramin Bank,8.98,84.87%,11.83%,3.29%,0.1,58.80%
47,Sarva Haryana Gramin Bank,8.05,85.34%,8.17%,6.49%,0.09,17.33%
48,RBL Bank,7.34,89.18%,8.29%,2.53%,0.04,76.76%
49,Baroda Rajasthan Kshetriya Gramin Bank,7.2,75.01%,7.83%,17.16%,0.26,18.46%
50,Karnataka Vikas Grameena Bank,6.45,81.76%,15.27%,2.97%,0.1,12.70%
