Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,2260.05,92.46%,5.09%,2.45%,15.95,89.61%
2,HDFC BANK LTD,778.92,94.41%,4.74%,0.85%,4.53,93.27%
3,Bank of Baroda,572.31,93.72%,5.89%,0.39%,2.06,96.77%
4,Union Bank of India,538.68,94.84%,4.65%,0.51%,2.6,75.60%
5,ICICI Bank,444.82,96.09%,3.11%,0.80%,2.72,95.14%
6,Axis Bank Ltd.,413.87,95.79%,4.14%,0.07%,1.29,89.86%
7,Punjab National Bank,409.55,95.11%,4.78%,0.12%,1.75,82.94%
8,Canara Bank,405.45,93.97%,5.81%,0.22%,1.68,93.20%
9,Paytm Payments Bank,404.99,95.76%,4.03%,0.21%,1.22,78.26%
10,Kotak Mahindra Bank,404.38,93.76%,5.35%,0.89%,1.77,65.63%
11,Bank of India,293.39,95.42%,4.06%,0.53%,1.32,76.80%
12,Indian Bank,236.53,92.72%,5.50%,1.78%,1.52,73.10%
13,Airtel Payments Bank,193.35,86.62%,13.09%,0.30%,0.82,93.66%
14,India Post Payment Bank,158.88,75.27%,20.47%,4.26%,1.16,53.49%
15,Federal Bank,142.93,94.60%,5.10%,0.31%,0.51,92.18%
16,Central Bank Of India,141.31,90.23%,8.68%,1.09%,1.26,77.95%
17,Indian Overseas Bank,114.43,94.72%,4.75%,0.53%,0.51,94.65%
18,IDBI Bank Limited,111.97,89.17%,3.67%,7.16%,1.44,76.20%
19,UCO Bank,101.76,93.78%,5.72%,0.51%,0.53,80.64%
20,Bank of Maharashtra,100.81,91.86%,4.40%,3.74%,0.58,57.63%
21,INDUSIND BANK,83.58,94.08%,5.59%,0.32%,0.37,92.66%
22,Yes Bank Ltd,78.15,95.31%,4.26%,0.43%,0.2,81.87%
23,Fino Payments Bank,73.73,77.59%,20.33%,2.08%,0.51,61.41%
24,Karnataka Bank,72.22,92.20%,6.53%,1.28%,0.24,78.84%
25,IDFC FIRST Bank,65.54,92.41%,6.39%,1.20%,0.3,67.52%
26,Karur Vysya Bank,45.86,92.75%,6.71%,0.54%,0.18,88.19%
27,Bandhan Bank,37.63,88.08%,8.84%,3.07%,0.42,79.98%
28,South Indian Bank,37.12,94.83%,4.89%,0.28%,0.12,93.61%
29,City Union Bank,27.3,91.35%,7.78%,0.87%,0.11,92.43%
30,Jammu and Kashmir Bank,26.67,89.34%,6.29%,4.37%,0.3,43.89%
31,Equitas Bank,24.63,88.99%,10.43%,0.58%,0,85.92%
32,Ujjivan Small Finance Bank,24.53,93.31%,6.33%,0.35%,0.12,75.52%
33,AU small Finance Bank,24.37,94.50%,5.19%,0.30%,0.11,95.90%
34,Tamilnad Mercantile Bank,22.69,93.16%,6.60%,0.24%,0.07,84.05%
35,DBS Bank India Limited,22.51,95.46%,4.06%,0.47%,0,88.13%
36,Punjab and Sind Bank,21.53,89.29%,9.82%,0.90%,0.14,82.00%
37,Standard Chartered,20.28,96.72%,2.42%,0.85%,0.09,88.92%
38,Andhra Pradesh Grameena Vikas Bank,18.43,82.74%,11.63%,5.64%,0.12,51.12%
39,Citibank,18.42,95.76%,3.42%,0.83%,0.06,97.94%
40,Maharashtra Gramin Bank,17.65,79.68%,15.49%,4.83%,0.14,42.17%
41,Pragathi Krishna Gramin Bank,17.47,86.38%,10.22%,3.40%,0.19,79.06%
42,Saraswat Bank,17.1,96.72%,3.12%,0.16%,0.04,94.48%
43,Kerala Gramin Bank,16.26,89.80%,9.10%,1.11%,0.08,87.82%
44,Rajasthan Marudhara Gramin Bank,15.76,74.89%,19.11%,6.00%,0.11,34.21%
45,ESAF Small Finance Bank Ltd.,14.58,84.00%,15.03%,0.97%,0.05,82.29%
46,RBL,11.99,92.44%,6.80%,0.77%,0,83.60%
47,Andhra Pragathi Grameena Bank,11.75,77.24%,16.27%,6.48%,0.12,16.47%
48,Sarva Haryana Gramin Bank,11.26,89.92%,7.80%,2.28%,0.13,37.49%
49,Baroda UP Gramin Bank,10.54,84.29%,13.20%,2.51%,0.12,38.16%
50,Fincare Small Finance Bank Ltd,8.59,85.47%,10.75%,3.78%,0.12,36.94%
