Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1987.68,89.00%,6.43%,4.57%,18.42,81.67%
2,HDFC BANK LTD,681.04,95.96%,3.76%,0.28%,2.93,93.36%
3,Bank of Baroda,502.38,92.92%,5.81%,1.28%,2.83,88.16%
4,Union Bank of India,472.1,93.64%,4.96%,1.40%,4.03,54.32%
5,ICICI Bank,397.14,96.50%,3.29%,0.21%,1.27,93.18%
6,Axis Bank Ltd,367.84,95.47%,4.50%,0.04%,1.26,89.52%
7,Paytm Payments Bank,360.42,96.17%,3.77%,0.06%,0.84,92.69%
8,Kotak Mahindra Bank,358.4,93.36%,5.26%,1.38%,1.7,66.32%
9,Canara Bank,354.92,93.13%,6.21%,0.66%,2.21,83.96%
10,Punjab National Bank,351.6,94.68%,4.98%,0.33%,1.7,96.95%
11,Bank of India,258.24,95.35%,4.34%,0.32%,1.23,84.48%
12,Indian Bank,202.78,93.39%,5.11%,1.49%,1.49,67.72%
13,Airtel Payments Bank,162.94,86.21%,13.11%,0.67%,0.91,93.03%
14,India Post Payment Bank,154.66,57.40%,23.33%,19.26%,6.49,31.89%
15,Federal Bank,127.02,94.17%,5.34%,0.48%,0.53,86.60%
16,Central Bank Of India,123.73,90.05%,8.78%,1.18%,1.16,74.98%
17,Indian Overseas Bank,100.8,94.23%,5.30%,0.47%,0.48,94.74%
18,IDBI Bank Limited,97.58,94.77%,4.02%,1.20%,0.57,86.98%
19,Bank of Maharashtra,89.07,94.51%,4.68%,0.81%,0.36,86.51%
20,UCO Bank,87.9,93.47%,5.87%,0.66%,0.5,79.26%
21,INDUSIND BANK,72.18,93.90%,5.89%,0.21%,0.33,96.05%
22,IDFC FIRST Bank,67.51,91.83%,4.93%,3.24%,0.64,35.14%
23,Yes Bank Ltd,66.76,95.49%,4.13%,0.38%,0.17,92.30%
24,Fino Payments Bank,66.29,76.37%,15.66%,7.97%,1.62,47.82%
25,Karnataka Bank,62.94,90.29%,7.59%,2.11%,0.34,53.91%
26,Karur Vysya Bank,40.92,92.07%,6.79%,1.14%,0.21,80.44%
27,Bandhan Bank,33.89,85.65%,11.75%,2.60%,0.4,77.08%
28,South Indian Bank,32.46,93.93%,5.15%,0.92%,0.16,67.41%
29,City Union Bank,23.61,92.89%,6.25%,0.86%,0.1,94.83%
30,Jammu and Kashmir Bank,23.46,88.47%,6.49%,5.03%,0.32,43.97%
31,Equitas Bank,21.75,89.06%,10.50%,0.44%,0.1,93.42%
32,Ujjivan Small Finance Bank,21.17,92.25%,6.71%,1.05%,0.14,63.25%
33,AU small Finance Bank,20.98,94.57%,5.36%,0.07%,0.1,96.90%
34,Tamilnad Mercantile Bank,20.22,90.23%,8.07%,1.71%,0.1,65.78%
35,DBS Bank India Limited,20.16,95.38%,4.21%,0.41%,0.08,87.64%
36,Punjab and Sind Bank,19.12,86.81%,12.41%,0.78%,0.13,78.29%
37,Standard Chartered,18.03,96.88%,2.54%,0.58%,0.07,91.16%
38,Citibank,16.98,95.34%,3.70%,0.95%,0.06,94.69%
39,Andhra Pradesh Grameena Vikas Bank,16.28,80.56%,12.46%,6.98%,0.17,32.54%
40,Saraswat Bank,15.08,95.25%,3.36%,1.39%,0.04,84.80%
41,Pragathi Krishna Gramin Bank,15.04,87.61%,10.88%,1.50%,0.14,81.24%
42,Maharashtra Gramin Bank,14.93,82.05%,15.61%,2.34%,0.12,48.33%
43,Kerala Gramin Bank,14.21,89.20%,10.23%,0.57%,0.07,91.07%
44,ESAF Small Finance Bank Ltd.,13.6,77.06%,21.90%,1.04%,0.06,85.84%
45,Rajasthan Marudhara Gramin Bank,12.76,80.63%,10.95%,8.41%,0.09,48.40%
46,RBL,10.51,93.16%,6.49%,0.35%,0.04,95.27%
47,Andhra Pragathi Grameena Bank,10.06,77.17%,14.54%,8.29%,0.11,23.55%
48,Sarva Haryana Gramin Bank,10.03,83.21%,7.66%,9.13%,0.25,17.54%
49,Baroda UP Gramin Bank,8.91,85.45%,12.15%,2.39%,0.06,75.51%
50,Baroda Rajasthan Kshetriya Gramin Bank,7.42,82.62%,11.38%,6.00%,0.07,45.77%
