Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank Of India,1625.09,87.98%,6.96%,5.06%,13.07,84.61%
2,HDFC Bank Ltd,529.76,94.44%,5.48%,0.08%,1.91,98.92%
3,Bank of Baroda,383.61,92.40%,6.42%,1.17%,3.9,83.45%
4,Union Bank of India,368.31,91.07%,7.50%,1.42%,3.17,65.94%
5,ICICI Bank,343.52,94.84%,4.69%,0.47%,1.19,92.67%
6,Axis Bank Ltd,309.01,94.74%,4.44%,0.81%,1.28,77.52%
7,Paytm Payments Bank,307.3,95.64%,4.30%,0.06%,0.97,98.11%
8,Punjab National Bank,274.44,93.08%,6.30%,0.62%,1.51,94.65%
9,Canara Bank,267.83,90.84%,8.49%,0.67%,1.33,92.04%
10,Kotak Mahindra Bank,251.49,93.80%,5.42%,0.78%,1.45,95.74%
11,Bank of India,210.67,94.65%,5.11%,0.24%,0.92,94.42%
12,Indian Bank,151.58,93.34%,6.09%,0.57%,0.63,93.35%
13,Central Bank Of India,111.89,88.47%,5.71%,5.82%,2.74,45.95%
14,Federal Bank,96.37,93.17%,5.93%,0.90%,0.4,96.69%
15,Airtel Payments Bank,90.81,86.71%,11.53%,1.76%,1.03,78.65%
16,India Post Payment Bank,87.61,59.80%,30.90%,9.29%,1.78,36.51%
17,IDBI Bank Limited,81.74,95.01%,4.28%,0.71%,0.43,89.09%
18,Indian Overseas Bank,76.9,93.23%,5.64%,1.13%,0.6,93.29%
19,Bank of Maharashtra,73.73,93.88%,5.12%,1.00%,0.38,86.43%
20,Yes Bank Ltd,73.71,91.72%,7.85%,0.43%,0.2,0.00%
21,UCO Bank,65.98,93.13%,6.26%,0.61%,0.43,76.01%
22,Karnataka Bank,55.02,83.56%,6.95%,9.49%,1.24,13.85%
23,IndusInd Bank,52.65,91.38%,7.97%,0.65%,0.24,93.25%
24,Fino Payments Bank,41.21,66.16%,30.38%,3.46%,0.43,67.02%
25,IDFC FIRST Bank,38.9,91.48%,5.75%,2.78%,0.39,44.99%
26,Karur Vysya Bank,35.43,88.81%,9.87%,1.32%,0.15,87.59%
27,Bandhan Bank,27.4,79.51%,19.18%,1.31%,0.2,70.51%
28,South Indian Bank,24.62,92.55%,6.06%,1.39%,0.17,95.31%
29,Equitas Small Finance Bank,19.63,80.09%,14.41%,5.50%,0.19,54.91%
30,City Union Bank,18.76,90.71%,7.80%,1.49%,0.08,97.82%
31,Citibank,16.78,94.68%,4.29%,1.03%,0.04,97.83%
32,Andhra Pradesh Grameena Vikas Bank,16.62,57.71%,26.61%,15.68%,0.86,4.74%
33,Ujjivan Small Finance Bank,16.55,78.84%,8.44%,12.72%,0.53,33.80%
34,DBS Bank Ltd,15.97,95.26%,4.51%,0.23%,0.06,98.00%
35,Standard Chartered,15.71,96.23%,2.91%,0.85%,0.1,93.20%
36,Maharashtra Gramin Bank,15.47,62.03%,30.64%,7.34%,0.24,38.02%
37,Tamilnad Mercantile Bank,15.15,91.78%,7.89%,0.34%,0.07,51.39%
38,AU small Finance Bank,14.75,92.86%,6.38%,0.76%,0.1,0.12%
39,Punjab and Sind Bank,14.74,88.65%,10.05%,1.30%,0.1,73.94%
40,Jammu and Kashmir Bank,14.49,82.17%,10.43%,7.40%,0.24,52.29%
41,Pragathi Krishna Gramin Bank,14.22,85.56%,11.59%,2.85%,0.2,50.32%
42,Saraswat Bank,12.07,95.01%,3.76%,1.24%,0.07,79.77%
43,Rajasthan Marudhara Gramin Bank,10.16,66.27%,18.83%,14.89%,0.51,3.21%
44,ESAF Small Finance Bank Ltd.,9.76,77.62%,19.54%,2.84%,0.07,69.48%
45,Andhra Pragathi Grameena Bank,9.28,70.20%,22.28%,7.52%,0.24,59.93%
46,Kerala Gramin Bank,9.11,86.27%,12.11%,1.62%,0.07,57.57%
47,Sarva Haryana Gramin Bank,8.27,79.00%,7.65%,13.35%,0.21,40.18%
48,RBL Bank,7.41,89.69%,8.95%,1.36%,0.04,83.50%
49,Telangana Grameena bank,6.79,74.54%,21.67%,3.79%,0.15,19.01%
50,Karnataka Vikas Grameena Bank,6.78,78.29%,18.22%,3.49%,0.1,45.45%
