Sr.No.,UPI Remitter Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
1,State Bank of India,2415.09,95.62%,4.23%,0.14%,7.08,96.41%
2,HDFC BANK LTD,830.95,96.41%,3.49%,0.11%,2.22,95.48%
3,Bank of Baroda,604.62,94.46%,5.36%,0.18%,1.84,91.10%
4,Union Bank of India,581.94,95.29%,4.45%,0.26%,1.8,82.12%
5,ICICI Bank,461.74,95.59%,3.11%,1.31%,2.53,91.21%
6,Punjab National Bank,449.87,95.31%,4.24%,0.45%,1.85,94.69%
7,Kotak Mahindra Bank,436.37,92.80%,4.85%,2.34%,1.35,72.73%
8,Canara Bank,429.75,94.19%,4.86%,0.95%,2.45,82.16%
9,Axis Bank Ltd,422.13,96.07%,3.88%,0.05%,1.08,84.01%
10,Paytm Payments Bank,407.65,96.41%,3.59%,0.00%,0.58,97.07%
11,Bank of India,303.65,95.96%,3.89%,0.15%,0.91,88.65%
12,Indian Bank,254.86,94.91%,4.67%,0.42%,1.17,68.48%
13,Airtel Payments Bank,205.13,89.26%,9.06%,1.68%,1.23,25.74%
14,India Post Payment Bank,171.64,74.50%,10.55%,14.95%,3.24,39.13%
15,Federal Bank,147.42,94.11%,5.17%,0.72%,0.46,82.38%
16,Central Bank Of India,146.77,88.61%,8.72%,2.67%,1.99,69.10%
17,Indian Overseas Bank,121.04,94.91%,4.52%,0.57%,0.45,92.24%
18,IDBI Bank Limited,113.13,95.57%,3.67%,0.76%,0.52,90.90%
19,UCO Bank,111.61,91.35%,5.18%,3.46%,1.15,39.34%
20,Bank of Maharashtra,103.7,94.03%,5.09%,0.87%,0.47,67.71%
21,INDUSIND BANK,91.07,94.19%,5.57%,0.23%,0.33,90.29%
22,Yes Bank Ltd,87.16,96.03%,3.78%,0.20%,0.19,72.87%
23,Fino Payments Bank Limited,80.47,85.18%,13.57%,1.25%,0.26,88.93%
24,Karnataka Bank,76.27,93.21%,5.09%,1.70%,0.18,88.81%
25,IDFC FIRST Bank,60.02,93.98%,5.59%,0.43%,0.24,66.61%
26,Karur Vysya Bank,47.09,93.03%,6.88%,0.09%,0.11,92.10%
27,Bandhan Bank,38.12,93.15%,5.44%,1.41%,0.28,58.31%
28,South Indian Bank,38.08,95.79%,4.20%,0.01%,0.07,95.94%
29,Jammu and Kashmir Bank,30.81,88.97%,7.02%,4.00%,0.31,40.85%
30,City Union Bank,27.66,93.18%,6.25%,0.57%,0.08,94.82%
31,Ujjivan Small Finance Bank,26.84,93.85%,5.74%,0.41%,0.11,67.18%
32,AU small Finance Bank,26.6,94.32%,4.63%,1.05%,0.19,96.80%
33,Equitas Bank,24.45,90.40%,9.33%,0.26%,0.07,93.51%
34,Tamilnad Mercantile Bank,23.94,94.02%,5.74%,0.25%,0.05,81.82%
35,Punjab and Sind Bank,23.88,87.61%,9.61%,2.79%,0.24,49.60%
36,DBS Bank India Limited,22.4,95.83%,3.95%,0.22%,0.07,82.03%
37,Standard Chartered,21.93,97.40%,2.29%,0.31%,0.06,84.51%
38,Andhra Pradesh Grameena Vikas Bank,20.7,79.23%,12.48%,8.29%,0.35,55.17%
39,Pragathi Krishna Gramin Bank,18.72,86.69%,9.58%,3.73%,0.19,53.50%
40,Citibank,18.54,94.07%,3.75%,2.18%,0.08,94.21%
41,Maharashtra Gramin Bank,17.89,80.91%,10.75%,8.34%,0.16,26.11%
42,Kerala Gramin Bank,17.62,89.73%,8.33%,1.95%,0.1,68.23%
43,Saraswat Bank,17.31,95.04%,3.75%,1.21%,0.1,33.36%
44,Tri O Tech Solutions Private Limited (PPI),14.99,100.00%,0.00%,0.00%,0,0.00%
45,Rajasthan Marudhara Gramin Bank,14.55,82.55%,12.85%,4.60%,0.18,22.95%
46,ESAF Small Finance Bank Ltd.,14.37,91.91%,6.11%,1.98%,0.05,69.68%
47,Sarva Haryana Gramin Bank,12.47,90.04%,6.89%,3.07%,0.08,48.50%
48,RBL Bank,12.07,92.58%,6.25%,1.17%,0.04,88.21%
49,Baroda UP Gramin Bank,11.43,86.89%,9.19%,3.92%,0.15,29.40%
50,Andhra Pragathi Grameena Bank,11.17,73.43%,21.36%,5.21%,0.1,24.44%
