Application Name,Year,Month,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
Fave,2023,8,0.12,7.54,0.0,0.0,0.0,0.0,0.12,7.54
TataNeu,2023,8,0.1,16.09,0.0,0.0,0.0,0.0,0.1,16.09
Tamilnad Mercantile Bank Apps,2023,8,0.1,25.45,0.0,0.0,0.0,0.0,0.1,25.45
Ultracash,2023,8,0.09,6.17,0.0,0.0,0.0,0.0,0.09,6.17
Citi Bank App,2023,8,0.08,58.11,0.0,0.0,0.0,0.0,0.08,58.11
Indian Overseas Bank Apps,2023,8,0.07,19.01,0.0,0.0,0.0,0.0,0.07,19.01
City Union Bank App,2023,8,0.07,19.79,0.0,0.0,0.0,0.0,0.07,19.79
IDBI Bank App,2023,8,0.06,31.69,0.0,0.0,0.0,0.0,0.06,31.69
INDIE,2023,8,0.05,12.6,0.0,0.0,0.0,0.0,0.05,12.6
Bank of Maharashtra App,2023,8,0.05,8.18,0.0,0.0,0.0,0.0,0.05,8.18
Karur Vysya Bank App,2023,8,0.05,16.11,0.0,0.0,0.0,0.0,0.05,16.11
MakeMyTrip,2023,8,0.04,20.49,0.0,0.0,0.0,0.0,0.04,20.49
Shriram One,2023,8,0.04,2.33,0.0,0.0,0.0,0.0,0.04,2.33
Equitas Small Apps,2023,8,0.03,19.23,0.0,0.0,0.0,0.0,0.03,19.23
NSDL Payments Bank App,2023,8,0.03,5.39,0.0,0.0,0.0,0.0,0.03,5.39
Allahabad Bank App,2023,8,0.03,7.81,0.0,0.0,0.0,0.0,0.03,7.81
Punjab Sindh Bank App,2023,8,0.03,12.74,0.0,0.0,0.0,0.0,0.03,12.74
Dhani,2023,8,0.03,4.2,0.0,0.0,0.0,0.0,0.03,4.2
Utkarsh Small Finance Bank,2023,8,0.02,6.67,0.0,0.0,0.0,0.0,0.02,6.67
Jammu and Kashmir Bank App,2023,8,0.01,2.8,0.0,0.0,0.0,0.0,0.01,2.8
Digikhata,2023,8,0.01,3.81,0.0,0.0,0.0,0.0,0.01,3.81
ZOICICI,2023,8,0.01,1.0,0.0,0.0,0.0,0.0,0.01,1.0
Dhanlaxmi Bank App,2023,8,0.01,3.02,0.0,0.0,0.0,0.0,0.01,3.02
GoIbibo,2023,8,0.01,2.99,0.0,0.0,0.0,0.0,0.01,2.99
Suryoday,2023,8,0.01,0.03,0.0,0.0,0.0,0.0,0.01,0.03
Bandhan Bank Apps,2023,8,0.01,0.87,0.0,0.0,0.0,0.0,0.01,0.87
Others,2023,8,0.03,8.45,0.0,0.0,0.0,0.01,0.03,8.46
PhonePe,2024,8,7236.49,1033264.34,,,,,7236.49,1033264.34
Google Pay,2024,8,5592.45,742223.07,,,,,5592.45,742223.07
Paytm,2024,8,1078.9,113672.16,0.0,0.0,,,1078.9,113672.17
Cred,2024,8,147.48,50720.89,,,,,147.48,50720.89
Axis Bank Apps,2024,8,18.05,4189.44,95.91,1642.7,0.01,2.21,113.97,5834.35
Navi,2024,8,88.71,4651.32,,,,,88.71,4651.32
Amazon Pay,2024,8,70.72,7744.21,,,,,70.72,7744.21
FamApp by Trio,2024,8,57.16,686.06,,,,,57.16,686.06
ICICI Bank Apps,2024,8,48.59,18120.13,0.01,6.62,2.72,3182.57,51.31,21309.33
Kotak Mahindra Bank Apps,2024,8,46.94,6349.0,,,,,46.94,6349.0
WhatsApp,2024,8,45.43,3421.99,,,,,45.43,3421.99
HDFC Bank Apps,2024,8,35.74,8834.38,0.26,0.39,0.01,0.42,36.0,8835.19
Yes Bank Apps,2024,8,25.94,9692.56,0.0,0.01,0.37,24.65,26.3,9717.22
BHIM,2024,8,25.94,8363.28,,,,,25.94,8363.28
Airtel Payments Bank Apps,2024,8,17.56,1221.85,0.0,0.01,,,17.56,1221.86
Mobikwik,2024,8,14.94,3012.52,,,,,14.94,3012.52
Groww,2024,8,13.65,9693.95,,,,,13.65,9693.95
super.money #,2024,8,11.63,385.77,,,,,11.63,385.77
Bajaj Finserv,2024,8,11.01,2639.91,,,,,11.01,2639.91
Slice,2024,8,10.53,775.67,,,,,10.53,775.67
SBI Bank Apps,2024,8,9.0,2827.84,,,0.0,0.0,9.0,2827.84
Flipkart UPI,2024,8,8.6,468.99,,,,,8.6,468.99
IDFC First Bank Apps,2024,8,8.01,1768.92,,,0.0,0.0,8.01,1768.92
Samsung Pay,2024,8,7.14,567.24,,,,,7.14,567.24
India Post Payments Bank App,2024,8,7.04,906.0,,,,,7.04,906.0
Federal Bank App,2024,8,6.25,901.05,,,,,6.25,901.05
Jupiter Money,2024,8,6.04,807.39,,,,,6.04,807.39
Deutsche Bank App,2024,8,3.73,369.37,,,0.0,0.07,3.73,369.45
Canara Bank App,2024,8,3.1,810.75,,,,,3.1,810.75
Jio Payments Bank App,2024,8,2.62,201.6,,,,,2.62,201.6
Punjab National Bank App,2024,8,2.57,595.26,,,,,2.57,595.26
Indian Bank App,2024,8,2.26,373.47,,,0.0,0.28,2.26,373.75
RBL Bank App,2024,8,1.53,548.79,0.0,0.0,0.02,5.51,1.55,554.3
Timepay,2024,8,1.29,12.89,,,0.0,0.02,1.29,12.9
Union Bank Apps,2024,8,1.27,468.83,,,0.0,0.0,1.27,468.83
OMNI,2024,8,1.21,61.66,,,,,1.21,61.66
Bank of Baroda Apps,2024,8,1.13,449.45,,,,,1.13,449.45
Jammu and Kashmir Bank App,2024,8,0.93,122.73,,,,,0.93,122.73
Central Bank of India App,2024,8,0.85,173.27,,,,,0.85,173.27
Pop Club,2024,8,0.77,72.62,,,,,0.77,72.62
South Indian Bank App,2024,8,0.62,168.87,,,,,0.62,168.87
AU Small Finance Bank App,2024,8,0.53,155.57,,,,,0.53,155.57
DBS Bank Apps,2024,8,0.52,198.88,,,0.0,0.58,0.52,199.46
Aditya Birla Capital Digital,2024,8,0.51,16.36,,,,,0.51,16.36
HSBC Bank App,2024,8,0.49,168.5,0.0,0.09,0.0,0.0,0.49,168.59
Fino Payments Bank App,2024,8,0.46,54.37,,,,,0.46,54.37
INDIE,2024,8,0.37,99.26,,,0.01,2.23,0.37,101.49
Digikhata,2024,8,0.33,110.14,,,,,0.33,110.14
Shriram One,2024,8,0.33,37.87,,,,,0.33,37.87
GoKiwi,2024,8,0.29,37.8,,,,,0.29,37.8
UCO Bank App,2024,8,0.24,53.95,,,,,0.24,53.95
Suryoday,2024,8,0.21,0.02,,,0.0,0.0,0.21,0.02
Karnataka Bank App,2024,8,0.19,39.14,,,0.0,0.0,0.19,39.14
TataNeu,2024,8,0.18,28.51,,,,,0.18,28.51
Standard Chartered Bank App,2024,8,0.18,116.65,,,0.0,0.03,0.18,116.68
Indian Overseas Bank Apps,2024,8,0.17,46.55,,,,,0.17,46.55
Dhani,2024,8,0.12,15.89,,,,,0.12,15.89
Ultracash,2024,8,0.12,8.68,,,,,0.12,8.68
Bank of India App,2024,8,0.11,28.04,,,,,0.11,28.04
IDBI Bank App,2024,8,0.09,33.76,,,,,0.09,33.76
City Union Bank App,2024,8,0.08,29.36,,,,,0.08,29.36
Niyo Global,2024,8,0.08,40.29,,,,,0.08,40.29
Tamilnad Mercantile Bank Apps,2024,8,0.08,24.17,,,,,0.08,24.17
NSDL Payments Bank App,2024,8,0.08,11.72,,,,,0.08,11.72
Karur Vysya Bank App,2024,8,0.06,21.0,,,,,0.06,21.0
Rapipay,2024,8,0.06,9.04,,,,,0.06,9.04
Equitas Small Apps,2024,8,0.04,26.4,,,,,0.04,26.4
Punjab Sindh Bank App,2024,8,0.03,13.83,,,,,0.03,13.83
Allahabad Bank App,2024,8,0.02,5.13,,,,,0.02,5.13
Others,2024,8,1.66,226.14,,,0.15,4.44,1.82,230.58
Airtel Payments Bank Apps,2022,12,8.69,681.55,,,0.0,0.0,8.7,681.67
Allahabad Bank App,2022,12,0.03,9.75,,,,,0.03,9.75
Amazon Pay,2022,12,69.61,6621.66,,,,,69.61,6621.66
AU Small Finance Bank App,2022,12,0.58,177.47,,,,,0.58,177.47
Axis Bank Apps,2022,12,7.26,1246.36,58.27,56.3,0.03,2.44,65.56,1305.09
Bajaj Finserv,2022,12,4.56,647.71,,,,,4.56,647.71
Bandhan Bank Apps,2022,12,0.01,1.53,,,,,0.01,1.53
Bank of Baroda Apps,2022,12,1.02,397.56,,,0.0,0.0,1.02,397.56
Bank of India App,2022,12,0.22,64.32,,,,,0.22,64.32
Bank of Maharashtra App,2022,12,0.08,19.91,,,,,0.08,19.91
BHIM,2022,12,25.5,8400.04,,,,,25.5,8400.04
Canara Bank App,2022,12,1.02,275.7,,,,,1.02,275.7
Central Bank of India App,2022,12,0.26,60.28,,,0.0,0.05,0.26,60.32
Citi Bank App,2022,12,0.09,68.38,,,0.0,0.0,0.09,68.38
City Union Bank App,2022,12,0.05,14.38,,,,,0.05,14.38
Cointab,2022,12,0.05,18.98,,,,,0.05,18.98
Cred,2022,12,31.42,19622.29,,,,,31.42,19622.29
DBS Bank Apps,2022,12,0.41,171.59,,,,,0.41,171.59
Deutsche Bank App,2022,12,1.28,104.47,,,0.0,0.01,1.28,104.49
Dhanlaxmi Bank App,2022,12,0.01,3.16,,,,,0.01,3.16
Equitas Small Apps,2022,12,0.02,11.69,,,,,0.02,11.69
FamApp by Trio,2022,12,9.7,127.18,,,0.0,0.01,9.7,127.19
Fave,2022,12,0.08,5.01,,,,,0.08,5.01
Federal Bank App,2022,12,4.57,595.17,,,0.0,0.01,4.57,595.18
Fino Payments Bank App,2022,12,0.11,7.49,,,,,0.11,7.49
Google Pay,2022,12,2712.34,440370.99,,,,,2712.34,440370.99
Groww,2022,12,0.21,153.02,,,,,0.21,153.02
HDFC Bank Apps,2022,12,11.81,3143.08,,,0.0,0.15,11.81,3143.24
HSBC Bank App,2022,12,0.15,78.59,0.0,0.05,0.0,0.0,0.15,78.63
ICICI Bank Apps,2022,12,36.74,8815.95,5.17,418.68,6.38,6890.51,48.29,16125.15
IDBI Bank App,2022,12,0.07,29.5,,,,,0.07,29.5
IDFC First Bank Apps,2022,12,9.55,1184.6,,,0.16,138.38,9.7,1322.98
India Post Payments Bank App,2022,12,5.55,682.59,,,,,5.55,682.59
Indian Bank App,2022,12,0.25,73.71,,,0.0,0.0,0.25,73.71
Indian Overseas Bank Apps,2022,12,0.01,2.9,,,,,0.01,2.9
INDIE,2022,12,1.26,1062.4,,,,,1.26,1062.4
Janta Sahakari Bank App,2022,12,0.01,4.58,,,,,0.01,4.58
Jio Payments Bank App,2022,12,1.48,104.71,,,,,1.48,104.71
Jupiter Money,2022,12,2.53,318.03,,,,,2.53,318.03
Karnataka Bank App,2022,12,0.48,91.09,,,,,0.48,91.09
Karur Vysya Bank App,2022,12,0.04,14.87,,,,,0.04,14.87
Kotak Mahindra Bank Apps,2022,12,11.53,2480.17,,,0.0,0.01,11.53,2480.18
MakeMyTrip,2022,12,0.1,52.3,,,,,0.1,52.3
Mobikwik,2022,12,3.62,806.82,,,,,3.62,806.82
NSDL Payments Bank App,2022,12,0.02,2.95,,,,,0.02,2.95
Paytm,2022,12,1054.05,118069.81,6.08,16.86,0.43,580.52,1170.34,138821.66
PhonePe,2022,12,3674.24,639348.78,,,,,3674.24,639348.78
Punjab National Bank App,2022,12,0.22,76.7,,,,,0.22,76.7
Punjab Sindh Bank App,2022,12,0.03,10.48,,,,,0.03,10.48
RBL Bank App,2022,12,0.92,214.4,0.0,0.01,0.18,0.89,1.1,215.3
Samsung Pay,2022,12,5.49,531.12,,,,,5.49,531.12
Slash,2022,12,0.01,0.79,,,,,0.01,0.79
Slice,2022,12,0.15,15.74,,,,,0.15,15.74
South Indian Bank App,2022,12,0.18,53.2,,,,,0.18,53.2
Standard Chartered Bank App,2022,12,0.16,90.42,0.0,0.0,0.0,0.0,0.16,90.42
SBI Bank Apps,2022,12,4.22,1928.43,,,0.0,0.0,4.22,1928.43
Tamilnad Mercantile Bank Apps,2022,12,0.08,12.13,,,,,0.08,12.13
TataNeu,2022,12,0.15,17.64,,,,,0.15,17.64
UCO Bank App,2022,12,0.31,93.32,,,,,0.31,93.32
Ultracash,2022,12,0.03,1.65,,,,,0.03,1.65
Union Bank Apps,2022,12,0.92,310.63,,,,,0.92,310.63
Utkarsh Small Finance Bank,2022,12,0.02,7.81,,,,,0.02,7.81
WhatsApp,2022,12,11.05,917.49,,,,,11.05,917.49
Yes Bank Apps,2022,12,35.98,13324.11,0.0,0.0,0.18,91.35,36.16,13415.46
Others,2022,12,0.03,7.64,,,0.0,0.0,0.03,7.64
PhonePe,2023,12,5642.66,901006.65,0.0,0.0,0.0,0.0,5642.66,901006.65
Google Pay,2023,12,4375.29,629285.36,0.0,0.0,0.0,0.0,4375.29,629285.36
Paytm,2023,12,1442.58,165694.96,4.38,8.39,0.75,1342.34,1573.61,191555.71
Cred,2023,12,105.31,37293.27,0.0,0.0,0.0,0.0,105.31,37293.27
Axis Bank Apps,2023,12,13.29,2657.21,73.58,3439.12,0.03,3.68,86.9,6100.01
Amazon Pay,2023,12,54.16,5982.84,0.0,0.0,0.0,0.0,54.16,5982.84
ICICI Bank Apps,2023,12,28.73,11167.31,4.46,534.86,6.9,9182.39,40.09,20884.56
FamApp by Trio,2023,12,34.23,392.53,0.0,0.0,0.0,0.0,34.23,392.53
Yes Bank Apps,2023,12,27.99,12305.58,0.0,0.0,0.37,63.28,28.37,12368.87
Kotak Mahindra Bank Apps,2023,12,26.36,4738.2,0.0,0.0,0.0,0.0,26.36,4738.2
WhatsApp,2023,12,25.25,2113.01,0.0,0.0,0.0,0.0,25.25,2113.01
BHIM,2023,12,24.3,8431.47,0.0,0.0,0.0,0.0,24.3,8431.47
HDFC Bank Apps,2023,12,23.68,6095.52,0.0,0.0,0.0,0.03,23.68,6095.54
Bajaj Finserv,2023,12,18.08,2580.43,0.0,0.0,0.0,0.0,18.08,2580.43
Airtel Payments Bank Apps,2023,12,12.26,851.64,0.0,0.0,0.0,0.0,12.54,883.36
Groww,2023,12,6.58,4039.81,0.0,0.0,0.0,0.0,6.58,4039.81
SBI Bank Apps,2023,12,6.13,2362.05,0.0,0.0,0.03,0.85,6.16,2362.9
Samsung Pay,2023,12,6.08,557.26,0.0,0.0,0.0,0.0,6.08,557.26
Federal Bank App,2023,12,5.95,745.4,0.0,0.0,0.0,0.01,5.95,745.41
IDFC First Bank Apps,2023,12,5.24,1306.5,0.0,0.0,0.0,0.0,5.24,1306.5
Mobikwik,2023,12,4.95,1580.3,0.0,0.0,0.0,0.0,4.95,1580.3
India Post Payments Bank App,2023,12,4.87,454.5,0.0,0.0,0.0,0.0,4.87,454.5
Jupiter Money,2023,12,4.86,656.67,0.0,0.0,0.0,0.0,4.86,656.67
Deutsche Bank App,2023,12,3.71,223.34,0.0,0.0,0.0,0.03,3.71,223.36
Standard Chartered Bank App,2023,12,3.17,249.27,0.0,0.0,0.47,157.36,3.63,406.63
Canara Bank App,2023,12,2.55,719.5,0.0,0.0,0.0,0.0,2.55,719.5
RBL Bank App,2023,12,1.93,697.43,0.0,0.01,0.21,55.79,2.14,753.23
Slice,2023,12,1.96,403.07,0.0,0.0,0.0,0.0,1.96,403.07
Jio Payments Bank App,2023,12,1.35,125.06,0.0,0.0,0.0,0.0,1.35,125.06
Punjab National Bank App,2023,12,1.26,276.47,0.0,0.0,0.0,0.0,1.26,276.47
OMNI,2023,12,1.16,36.26,0.0,0.0,0.0,0.0,1.16,36.26
Bank of Baroda Apps,2023,12,1.05,453.4,0.0,0.0,0.0,10.68,1.05,464.08
INDIE,2023,12,1.05,203.58,0.0,0.0,0.0,0.0,1.05,203.58
Union Bank Apps,2023,12,1.02,405.74,0.0,0.0,0.0,0.0,1.02,405.74
Slice,2023,12,0.95,32.65,0.0,0.0,0.0,0.0,0.95,32.65
DBS Bank Apps,2023,12,0.78,245.47,0.0,0.0,0.0,1.47,0.79,246.94
GoKiwi,2023,12,0.77,104.27,0.0,0.0,0.0,0.0,0.77,104.27
Karnataka Bank App,2023,12,0.72,144.87,0.0,0.0,0.0,0.01,0.72,144.89
Navi,2023,12,0.69,43.86,0.0,0.0,0.0,0.0,0.69,43.86
AU Small Finance Bank App,2023,12,0.68,252.89,0.0,0.0,0.0,0.0,0.68,252.89
Central Bank of India App,2023,12,0.58,136.84,0.0,0.0,0.0,0.0,0.58,136.84
Indian Bank App,2023,12,0.4,98.27,0.0,0.0,0.0,8.79,0.4,107.06
Shriram One,2023,12,0.33,19.47,0.0,0.0,0.0,0.0,0.33,19.47
Bajaj Finserv,2023,12,0.32,72.38,0.0,0.0,0.0,0.0,0.32,72.38
South Indian Bank App,2023,12,0.3,86.96,0.0,0.0,0.0,0.0,0.3,86.96
Bank of India App,2023,12,0.29,103.82,0.0,0.0,0.0,0.0,0.29,103.82
UCO Bank App,2023,12,0.29,94.81,0.0,0.0,0.0,0.0,0.29,94.81
Mobikwik,2023,12,0.28,38.53,0.0,0.0,0.0,0.0,0.28,38.53
Fino Payments Bank App,2023,12,0.27,26.7,0.0,0.0,0.0,0.0,0.27,26.7
INDIE,2023,12,0.2,35.32,0.0,0.0,0.0,0.0,0.2,35.32
HSBC Bank App,2023,12,0.2,123.63,0.0,0.08,0.0,0.0,0.2,123.7
Tamilnad Mercantile Bank Apps,2023,12,0.11,31.47,0.0,0.0,0.0,0.0,0.11,31.47
Indian Overseas Bank Apps,2023,12,0.11,27.85,0.0,0.0,0.0,0.0,0.11,27.85
Ultracash,2023,12,0.08,5.06,0.0,0.0,0.0,0.0,0.08,5.06
TataNeu,2023,12,0.08,10.49,0.0,0.0,0.0,0.0,0.08,10.49
IDBI Bank App,2023,12,0.07,38.61,0.0,0.0,0.0,0.0,0.07,38.61
City Union Bank App,2023,12,0.07,22.76,0.0,0.0,0.0,0.0,0.07,22.76
Digikhata,2023,12,0.07,25.8,0.0,0.0,0.0,0.0,0.07,25.8
Paytm,2023,12,0.07,4.53,0.0,0.0,0.0,0.0,0.07,4.53
Citi Bank App,2023,12,0.07,70.44,0.0,0.0,0.0,0.0,0.07,70.44
Fave,2023,12,0.06,4.28,0.0,0.0,0.0,0.0,0.06,4.28
FIFEDERAL,2023,12,0.05,7.12,0.0,0.0,0.0,0.0,0.05,7.12
Bank of Maharashtra App,2023,12,0.04,8.1,0.0,0.0,0.0,0.0,0.04,8.1
MakeMyTrip,2023,12,0.04,22.2,0.0,0.0,0.0,0.0,0.04,22.2
NSDL Payments Bank App,2023,12,0.04,6.36,0.0,0.0,0.0,0.0,0.04,6.36
Karur Vysya Bank App,2023,12,0.04,13.69,0.0,0.0,0.0,0.0,0.04,13.69
Equitas Small Apps,2023,12,0.03,21.86,0.0,0.0,0.0,0.0,0.03,21.86
Allahabad Bank App,2023,12,0.03,7.01,0.0,0.0,0.0,0.0,0.03,7.01
Dhani,2023,12,0.03,2.01,0.0,0.0,0.0,0.0,0.03,2.01
CBDC,2023,12,0.72,25.12,0.0,0.0,0.05,0.8,0.77,25.91
Others,2023,12,0.12,38.33,0.0,0.0,0.0,0.0,0.12,38.33
Airtel Payments Bank Apps,2022,2,5.8,1199.46,,,,,7.58,2210.17
Allahabad Bank App,2022,2,0.02,6.28,,,,,0.02,6.28
Amazon Pay,2022,2,63.49,6044.47,,,,,63.49,6044.47
AU Small Finance Bank App,2022,2,0.25,89.36,,,,,0.25,89.36
Axis Bank Apps,2022,2,6.9,1366.34,47.88,38.91,0.0,0.0,54.78,1405.26
Bajaj Finserv,2022,2,0.33,19.32,,,,,0.33,19.32
Bank of Baroda Apps,2022,2,0.67,330.69,,,0.0,0.0,0.67,330.69
Bank of India App,2022,2,0.05,21.28,,,,,0.05,21.28
Bank of Maharashtra App,2022,2,0.05,12.49,,,,,0.05,12.49
BHIM,2022,2,23.25,7891.86,,,,,23.25,7891.86
Canara Bank App,2022,2,0.26,95.78,,,,,0.26,95.78
Central Bank of India App,2022,2,0.12,45.26,,,,,0.12,45.26
Citi Bank App,2022,2,0.08,69.22,,,,,0.08,69.22
City Union Bank App,2022,2,0.02,5.49,,,,,0.02,5.49
Cointab,2022,2,1.73,280.57,,,,,1.73,280.57
Cred,2022,2,10.08,13364.09,,,,,10.08,13364.09
DBS Bank Apps,2022,2,0.46,173.63,,,,,0.46,173.63
Dena Bank App,2022,2,0.02,23.93,,,,,0.02,23.93
Deutsche Bank App,2022,2,0.87,70.43,,,,,0.87,70.43
Dhanlaxmi Bank App,2022,2,0.01,2.83,,,,,0.01,2.83
Federal Bank App,2022,2,0.55,108.21,,,0.0,0.0,0.55,108.21
Fino Payments Bank App,2022,2,0.03,3.25,,,,,0.03,3.25
Finshell Pay,2022,2,0.06,3.8,,,,,0.06,3.8
Google Pay,2022,2,1524.09,291273.46,,,,,1524.09,291273.46
HDFC Bank Apps,2022,2,4.59,1370.03,,,,,4.59,1370.03
HSBC Bank App,2022,2,0.08,52.94,0.0,0.04,,,0.08,52.97
ICICI Bank Apps,2022,2,27.39,8537.11,3.27,190.34,,,30.66,8727.44
IDBI Bank App,2022,2,0.02,14.6,,,,,0.02,14.6
IDFC First Bank Apps,2022,2,1.21,321.93,,,0.0,0.0,1.21,321.93
India Post Payments Bank App,2022,2,2.21,268.9,,,,,2.21,268.9
Indian Bank App,2022,2,0.11,42.07,,,,,0.11,42.07
INDIE,2022,2,0.77,1358.24,,,,,0.77,1358.24
Jammu and Kashmir Bank App,2022,2,0.01,3.43,,,,,0.01,3.43
Janta Sahakari Bank App,2022,2,0.01,4.33,,,,,0.01,4.33
Jio Payments Bank App,2022,2,1.97,111.85,,,,,1.97,111.85
Jupiter Money,2022,2,1.13,140.79,,,,,1.13,140.79
Karnataka Bank App,2022,2,0.25,31.35,,,,,0.25,31.35
Karur Vysya Bank App,2022,2,0.04,17.17,,,,,0.04,17.17
Kotak Mahindra Bank Apps,2022,2,6.91,1383.3,,,,,6.91,1383.3
MakeMyTrip,2022,2,0.08,33.03,,,,,0.08,33.03
MI Pay,2022,2,0.25,38.46,,,,,0.25,38.46
Mobikwik,2022,2,3.78,755.89,,,,,3.78,755.89
NSDL Payments Bank App,2022,2,0.02,1.77,,,,,0.02,1.77
Paytm,2022,2,613.77,72204.32,8.48,18.96,,,706.77,86299.22
PhonePe,2022,2,2120.2,407640.11,,,,,2120.2,407640.11
Punjab National Bank App,2022,2,0.08,43.49,,,,,0.08,43.49
Punjab Sindh Bank App,2022,2,0.01,2.66,,,,,0.01,2.66
RBL Bank App,2022,2,0.51,107.25,,,0.0,0.0,0.51,107.25
Samsung Pay,2022,2,3.14,421.97,,,,,3.14,421.97
South Indian Bank App,2022,2,0.12,38.69,,,,,0.12,38.69
Standard Chartered Bank App,2022,2,0.12,64.7,,,,,0.12,64.7
SBI Bank Apps,2022,2,3.38,1863.42,,,0.0,0.0,3.38,1863.42
UCO Bank App,2022,2,0.16,35.05,,,,,0.16,35.05
Ultracash,2022,2,1.51,158.7,,,,,1.51,158.7
Union Bank Apps,2022,2,0.35,166.72,,,,,0.35,166.72
Utkarsh Small Finance Bank,2022,2,0.01,2.42,,,,,0.01,2.42
WhatsApp,2022,2,2.24,207.09,,,,,2.24,207.09
Yes Bank Apps,2022,2,31.99,6551.55,0.19,0.06,,,32.17,6551.61
YuvaPay,2022,2,0.05,89.7,,,,,0.05,89.7
Others,2022,2,0.02,8.15,,,,,0.02,8.15
Airtel Payments Bank Apps,2023,2,8.71,730.35,,,0.0,0.01,8.71,730.45
Allahabad Bank App,2023,2,0.03,8.47,,,,,0.03,8.47
Amazon Pay,2023,2,47.8,4981.82,,,,,47.8,4981.82
AU Small Finance Bank App,2023,2,0.55,165.07,,,,,0.55,165.07
Axis Bank Apps,2023,2,7.74,1352.53,44.19,58.61,0.03,2.82,51.95,1413.95
Bajaj Finserv,2023,2,5.44,882.75,,,,,5.44,882.75
Bandhan Bank Apps,2023,2,0.01,1.71,,,,,0.01,1.71
Bank of Baroda Apps,2023,2,1.14,408.18,,,0.0,1.15,1.14,409.33
Bank of India App,2023,2,0.24,68.69,0.0,0.0,,,0.24,68.69
Bank of Maharashtra App,2023,2,0.07,19.02,,,,,0.07,19.02
BHIM,2023,2,23.21,7158.37,,,,,23.21,7158.37
Bajaj Finserv,2023,2,0.01,3.43,,,,,0.01,3.43
Canara Bank App,2023,2,1.09,284.23,,,,,1.09,284.23
Central Bank of India App,2023,2,0.32,72.05,,,0.0,0.1,0.32,72.15
Citi Bank App,2023,2,0.08,59.37,,,0.0,0.0,0.08,59.37
City Union Bank App,2023,2,0.06,15.94,,,,,0.06,15.94
Cointab,2023,2,0.04,16.4,,,,,0.04,16.4
Cred,2023,2,36.57,17902.2,,,,,36.57,17902.2
DBS Bank Apps,2023,2,0.39,161.51,,,,,0.39,161.51
Deutsche Bank App,2023,2,1.31,112.45,,,0.01,5.9,1.32,118.35
Transerv,2023,2,0.02,3.13,,,,,0.02,3.13
Dhanlaxmi Bank App,2023,2,0.01,2.67,,,,,0.01,2.67
Equitas Small Apps,2023,2,0.02,11.41,,,,,0.02,11.41
EROUTE,2023,2,0.17,6.08,,,,,0.17,6.08
FamApp by Trio,2023,2,1.6,21.73,,,,,1.6,21.73
Fave,2023,2,0.11,7.08,,,,,0.11,7.08
Federal Bank App,2023,2,4.76,590.97,,,0.0,0.0,4.76,590.97
Fino Payments Bank App,2023,2,0.1,6.5,,,,,0.1,6.5
Google Pay,2023,2,2639.55,424442.48,,,,,2639.55,424442.48
Groww,2023,2,0.21,158.9,,,,,0.21,158.9
HDFC Bank Apps,2023,2,11.87,3116.03,,,0.0,0.14,11.87,3116.17
HSBC Bank App,2023,2,0.12,73.02,0.0,0.02,0.0,0.0,0.12,73.04
ICICI Bank Apps,2023,2,28.99,8054.44,5.68,390.6,5.84,6386.36,40.52,14831.4
IDBI Bank App,2023,2,0.07,29.25,,,,,0.07,29.25
IDFC First Bank Apps,2023,2,21.31,2176.07,,,0.98,868.14,22.28,3044.21
India Post Payments Bank App,2023,2,4.05,609.49,,,,,4.05,609.49
Indian Bank App,2023,2,0.24,68.44,,,0.0,0.13,0.24,68.57
Indian Overseas Bank Apps,2023,2,0.01,2.31,,,,,0.01,2.31
INDIE,2023,2,0.78,848.43,,,,,0.78,848.43
Jio Payments Bank App,2023,2,1.5,104.03,,,,,1.5,104.03
Jupiter Money,2023,2,2.39,314.07,,,,,2.39,314.07
Karnataka Bank App,2023,2,0.39,88.38,,,,,0.39,88.38
Karur Vysya Bank App,2023,2,0.04,14.78,,,,,0.04,14.78
Kotak Mahindra Bank Apps,2023,2,12.09,2521.61,,,0.0,0.03,12.09,2521.65
MakeMyTrip,2023,2,0.05,22.7,,,,,0.05,22.7
Mobikwik,2023,2,3.39,804.92,,,,,3.39,804.92
NSDL Payments Bank App,2023,2,0.02,3.0,,,,,0.02,3.0
Paytm,2023,2,1027.97,116864.36,10.52,17.08,0.43,621.78,1137.53,136528.25
PhonePe,2023,2,3519.12,620121.97,,,,,3519.12,620121.97
Punjab National Bank App,2023,2,0.33,90.01,,,,,0.33,90.01
Punjab Sindh Bank App,2023,2,0.04,12.34,,,,,0.04,12.34
RBL Bank App,2023,2,1.65,487.72,0.0,0.0,0.1,1.72,1.74,489.45
Samsung Pay,2023,2,5.24,488.33,,,,,5.24,488.33
Slash,2023,2,0.01,0.49,,,,,0.01,0.49
Slice,2023,2,0.47,117.78,,,,,0.47,117.78
South Indian Bank App,2023,2,0.2,54.81,,,,,0.2,54.81
Standard Chartered Bank App,2023,2,0.14,82.79,0.0,0.0,,,0.14,82.79
SBI Bank Apps,2023,2,3.72,1753.88,,,0.0,0.05,3.72,1753.93
Tamilnad Mercantile Bank Apps,2023,2,0.06,10.21,,,,,0.06,10.21
TataNeu,2023,2,0.13,14.54,,,,,0.13,14.54
