Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,957.39,99.27%,0.69%,0.04%,0.01%,
2,State Bank Of India,647.8,98.59%,0.50%,0.77%,0.14%,
3,Yes Bank Ltd,593.69,99.91%,0.06%,0.02%,0.01%,
4,ICICI Bank,378.39,99.07%,0.78%,0.04%,0.12%,
5,Axis Bank Ltd,353.13,99.51%,0.44%,0.00%,0.05%,
6,HDFC Bank Ltd,246.23,98.41%,1.35%,0.06%,0.17%,
7,Bank of Baroda,161.69,99.20%,0.47%,0.13%,0.20%,
8,Union Bank of India,157.03,98.87%,0.63%,0.16%,0.35%,
9,Canara Bank,122.3,98.63%,0.97%,0.25%,0.14%,
10,Punjab National Bank,114.09,98.30%,0.71%,0.63%,0.37%,
11,Bank of India,99.09,97.88%,0.67%,1.08%,0.37%,
12,Kotak Mahindra Bank,94.65,98.61%,1.22%,0.03%,0.14%,
13,Federal Bank,90.94,98.89%,0.26%,0.69%,0.16%,
14,Indian Bank,62.69,92.59%,3.98%,1.67%,1.75%,
15,Central Bank Of India,52.47,97.24%,0.78%,0.70%,1.29%,
16,Airtel Payments Bank,50.67,97.93%,0.79%,0.95%,0.33%,
17,IndusInd Bank,41.99,98.24%,0.71%,0.22%,0.82%,
18,IDBI Bank Limited,38.58,98.84%,0.76%,0.22%,0.18%,
19,Indian Overseas Bank,33.42,99.21%,0.58%,0.09%,0.13%,
20,Bank of Maharashtra,30.65,99.00%,0.37%,0.45%,0.18%,
21,UCO Bank,28.06,97.52%,1.27%,0.74%,0.47%,
22,IDFC First Bank,24.19,98.20%,1.02%,0.29%,0.49%,
23,Karnataka Bank,23.95,97.13%,0.79%,1.41%,0.67%,
24,India Post Payment Bank,22.84,97.61%,0.50%,0.99%,0.90%,
25,Karur Vysya Bank,18.68,98.84%,0.58%,0.36%,0.22%,
26,South Indian Bank,13.71,99.03%,0.72%,0.22%,0.02%,
27,Bandhan Bank,13.17,98.07%,0.78%,1.00%,0.15%,
28,Citibank,12.15,98.54%,1.43%,0.02%,0.00%,
29,AU small Finance Bank,9.54,98.61%,0.88%,0.23%,0.28%,
30,Fino Payments Bank,9.41,94.59%,3.54%,1.81%,0.06%,
31,City Union Bank,9.21,96.00%,1.33%,2.41%,0.26%,
32,DBS Bank India Limited,8.68,95.63%,3.44%,0.65%,0.27%,
33,Equitas Small Finance Bank,7.12,97.83%,1.38%,0.67%,0.12%,
34,Ujjivan Small Finance Bank,7.12,97.29%,0.51%,1.22%,0.98%,
35,Tamilnad Mercantile Bank,7.03,98.59%,0.64%,0.38%,0.39%,
36,Pragathi Krishna Gramin Bank,6.4,99.09%,0.31%,0.19%,0.41%,
37,Andhra Pradesh Grameena Vikas Bank,6.04,90.63%,0.16%,6.25%,2.96%,
38,Maharashtra Gramin Bank,5.52,97.32%,0.36%,1.35%,0.97%,
39,Punjab and Sind Bank,5.22,99.05%,0.59%,0.29%,0.08%,
40,Saraswat Bank,4.93,98.97%,0.68%,0.24%,0.11%,
41,Kerala Gramin Bank,4.88,99.37%,0.36%,0.12%,0.15%,
42,RBL Bank,4.34,96.76%,3.15%,0.05%,0.05%,
43,Rajasthan Marudhara Gramin Bank,4.27,92.64%,0.36%,4.16%,2.83%,
44,ESAF Small Finance Bank Ltd.,4.22,96.17%,0.38%,3.26%,0.20%,
45,Andhra Pragathi Grameena Bank,4.12,94.82%,0.29%,2.57%,2.31%,
46,Jammu and Kashmir Bank,4.05,97.07%,1.73%,1.10%,0.11%,
47,Sarva Haryana Gramin Bank,3.47,87.71%,1.02%,11.02%,0.25%,
48,Baroda Rajasthan Kshetriya Gramin Bank,3.43,96.13%,2.10%,1.00%,0.77%,
49,Karnataka Vikas Grameena Bank,3.14,97.09%,0.88%,1.04%,0.99%,
50,Standard Chartered,3.05,95.83%,2.67%,1.23%,0.28%,
