Sr.No.,UPI Beneficiary Banks,Total Volume (In Mn),Approved %,BD %	,	TD%,Deemed Approved %,Column 8
1,Paytm Payments Bank,980.72,99.71%,0.27%,0.01%,0.01%,
2,State Bank Of India,618.15,97.84%,0.37%,1.32%,0.47%,
3,Yes Bank Ltd,583.5,99.89%,0.09%,0.01%,0.01%,
4,Axis Bank Ltd,338.97,99.64%,0.23%,0.03%,0.10%,
5,ICICI Bank,291.95,98.84%,0.93%,0.17%,0.07%,
6,HDFC Bank Ltd,238.45,98.75%,1.12%,0.06%,0.08%,
7,Bank of Baroda,160.4,98.94%,0.39%,0.39%,0.28%,
8,Union Bank of India,154.66,98.96%,0.47%,0.22%,0.34%,
9,Canara Bank,121.04,99.09%,0.79%,0.06%,0.07%,
10,Punjab National Bank,112.52,98.26%,0.58%,0.87%,0.29%,
11,Bank of India,95.11,98.27%,0.44%,0.82%,0.48%,
12,Federal Bank,93.08,99.56%,0.23%,0.15%,0.06%,
13,Kotak Mahindra Bank,92.4,98.27%,0.75%,0.12%,0.85%,
14,Indian Bank,62.84,90.27%,4.47%,3.51%,1.75%,
15,Airtel Payments Bank,51.15,98.59%,0.74%,0.40%,0.27%,
16,Central Bank Of India,51.07,98.18%,0.69%,0.36%,0.77%,
17,IndusInd Bank,43.7,98.97%,0.45%,0.24%,0.33%,
18,IDBI Bank Limited,37.88,99.28%,0.57%,0.10%,0.05%,
19,Indian Overseas Bank,33.13,98.98%,0.44%,0.21%,0.37%,
20,Bank of Maharashtra,29.8,98.87%,0.30%,0.66%,0.17%,
21,UCO Bank,28.27,98.72%,0.50%,0.40%,0.37%,
22,Karnataka Bank,24.19,98.27%,0.71%,0.67%,0.35%,
23,India Post Payment Bank,23.37,98.17%,0.40%,1.05%,0.38%,
24,Karur Vysya Bank,18.61,99.19%,0.46%,0.22%,0.13%,
25,IDFC FIRST Bank,18,98.42%,0.88%,0.55%,0.16%,
26,South Indian Bank,13.61,99.39%,0.44%,0.15%,0.01%,
27,Bandhan Bank,13.22,98.44%,0.65%,0.82%,0.09%,
28,Citibank,11.19,99.34%,0.64%,0.02%,0.00%,
29,Fino Payments Bank,9.9,95.14%,2.65%,2.14%,0.07%,
30,AU small Finance Bank,9.8,97.76%,2.06%,0.06%,0.12%,
31,City Union Bank,9.09,98.17%,1.17%,0.56%,0.11%,
32,DBS Bank India Limited,8.21,98.23%,1.52%,0.16%,0.09%,
33,Equitas Small Finance Bank,7.27,97.87%,1.01%,0.87%,0.24%,
34,Tamilnad Mercantile Bank,7.2,98.68%,0.67%,0.25%,0.39%,
35,Ujjivan Small Finance Bank,7.03,96.68%,0.42%,1.54%,1.36%,
36,Pragathi Krishna Gramin Bank,6.42,97.58%,0.31%,1.27%,0.85%,
37,Andhra Pradesh Grameena Vikas Bank,5.9,97.15%,0.20%,2.03%,0.63%,
38,Maharashtra Gramin Bank,5.49,91.33%,0.22%,7.92%,0.53%,
39,Punjab and Sind Bank,5.26,94.80%,0.40%,4.07%,0.73%,
40,Kerala Gramin Bank,4.83,98.85%,0.29%,0.56%,0.30%,
41,Saraswat Bank,4.66,98.47%,0.33%,0.81%,0.40%,
42,Rajasthan Marudhara Gramin Bank,4.2,96.33%,0.27%,1.64%,1.76%,
43,Jammu and Kashmir Bank,4.13,95.53%,1.72%,2.27%,0.48%,
44,RBL Bank,4.11,97.54%,2.01%,0.25%,0.20%,
45,ESAF Small Finance Bank Ltd.,4.11,98.03%,0.33%,1.52%,0.11%,
46,Andhra Pragathi Grameena Bank,4.04,94.63%,1.43%,2.15%,1.79%,
47,Baroda Rajasthan Kshetriya Gramin Bank,3.53,89.65%,1.92%,5.63%,2.81%,
48,Sarva Haryana Gramin Bank,3.44,87.60%,1.14%,10.72%,0.53%,
49,Baroda UP Gramin Bank,3.2,87.81%,6.05%,4.66%,1.48%,
50,Karnataka Vikas Grameena Bank,3.03,96.71%,0.23%,2.16%,0.89%,
