Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe,6831.92,1033588.8,0,0,0,0,6831.92,1033588.8
2,Google Pay,5219.56,723315.7,0,0,0,0,5219.56,723315.7
3,Paytm (OCL),1140.01,124704.79,0,0,0,0,1140.01,124704.8
4,Cred,140.08,47547.15,0,0,0,0,140.08,47547.15
5,Amazon Pay,68.34,7419.41,0,0,0,0,68.34,7419.41
6,Axis Bank Apps,14.15,3722.58,49.93,2184.74,0.01,2.89,64.08,5910.2
7,ICICI Bank Apps,38.5,15332.69,4.22,449.37,9.37,12661.97,52.1,28444.03
8,FamApp by Trio,50.1,630.89,0,0,0,0,50.1,630.89
9,Kotak Mahindra Bank Apps,43.41,6178.23,0,0,0,0,43.41,6178.23
10,WhatsApp,36.45,2938.72,0,0,0,0,36.45,2938.72
11,HDFC Bank Apps,35.4,8104.06,0.02,0.06,0.01,0.32,35.43,8104.44
12,Navi,29.72,958.09,0,0,0,0,29.72,958.09
13,BHIM,23.43,8095.99,0,0,0,0,23.43,8095.99
14,Yes Bank Apps,22.48,10939.53,0,0,0.26,32.11,22.75,10971.64
15,Airtel Payments Bank Apps,17.29,1329.67,0,0,0,0.48,17.29,1330.15
16,Mobikwik,11.12,2536.09,0,0,0,0,11.12,2536.09
17,Groww,10.15,7086.12,0,0,0,0,10.15,7086.12
18,Bajaj Finserv,9.55,1685.51,0,0,0,0,9.55,1685.51
19,Slice,9.05,646.12,0,0,0,0,9.05,646.12
20,State Bank of India Apps,7.12,2494.2,0,0,0,0,7.12,2494.2
21,IDFC Bank Apps,6.99,1690.27,0,0,0,0,6.99,1690.27
22,Samsung Pay,6.56,547.28,0,0,0,0,6.56,547.28
23,Jupiter,6.07,769.1,0,0,0,0,6.07,769.1
24,Federal Bank Apps,5.95,811.83,0,0,0,0,5.95,811.83
25,India Post Payments Bank Apps,5.67,703.81,0,0,0,0,5.67,703.81
26,Flipkart,4.44,251.85,0,0,0,0,4.44,251.85
27,Canara Bank Apps,3.06,828.58,0,0,0,0,3.06,828.58
28,Deutsche Bank Apps,2.34,369.39,0,0,0,0.03,2.34,369.42
29,RBL Bank Apps,2.2,900.13,0,0,0.05,31.21,2.24,931.34
30,Jio Payments Bank Apps,2.02,170.98,0,0,0,0,2.02,170.98
31,Punjab National Bank Apps,1.74,444.5,0,0,0,0,1.74,444.5
32,Timepay,1.61,17.59,0,0,0,0.1,1.61,17.69
33,Indian Bank Apps,1.54,319.53,0,0,0,10.05,1.55,329.58
34,OmniCard,1.24,45.65,0,0,0,0,1.24,45.65
35,Union Bank Apps,1.19,505.23,0,0,0,0,1.19,505.24
36,Bank of Baroda Apps,1.02,456.55,0,0,0,7.31,1.02,463.85
37,Central Bank of India Apps,0.95,213.29,0,0,0,0,0.95,213.29
38,AU Small Finance Bank Apps,0.82,249.6,0,0,0,0,0.82,249.6
39,DBS Digibank Apps,0.48,192.6,0,0,0,0.49,0.48,193.09
40,South Indian Bank Apps,0.47,141.47,0,0,0,0,0.47,141.47
41,Jammu and Kashmir Bank Apps,0.43,64.02,0,0,0,0,0.43,64.02
42,Fino Payments bank Apps,0.38,53.86,0,0,0,0,0.38,53.86
43,HSBC Bank Apps,0.37,144.05,0,0.05,0,0,0.37,144.11
44,IndusInd Bank Apps,0.35,73.84,0,0,0,0.58,0.36,74.41
45,Shriram One,0.29,36.28,0,0,0,0,0.29,36.28
46,Bank of India Apps,0.21,81.09,0,0,0,0,0.21,81.09
47,UCO Bank Apps,0.2,65.61,0,0,0,0,0.2,65.61
48,Kiwi,0.18,36.03,0,0,0,0,0.18,36.03
49,TataNeu,0.18,25.1,0,0,0,0,0.18,25.1
50,Standard Chartered Bank Apps,0.16,114.4,0,0,0,0.02,0.16,114.42
51,Digikhata,0.16,52.29,0,0,0,0,0.16,52.29
52,Karnataka Bank Apps,0.16,30,0,0,0,0,0.16,30
53,Indian Overseas Bank Apps,0.12,34.43,0,0,0,0,0.12,34.43
54,Dhani,0.11,13.12,0,0,0,0,0.11,13.12
55,Ultracash,0.09,6.19,0,0,0,0,0.09,6.19
56,Tamilnad Mercantile Bank Apps,0.08,25.66,0,0,0,0,0.08,25.66
57,Citi Bank Apps,0.08,66.69,0,0,0,0.05,0.08,66.74
58,City Union Bank Apps,0.08,28.77,0,0,0,0,0.08,28.77
59,NSDL Payments Bank Apps,0.07,12.71,0,0,0,0,0.07,12.71
60,IDBI Bank Apps,0.07,27.32,0,0,0,0,0.07,27.32
61,Aditya Birla Capital Digital,0.05,1.84,0,0,0,0,0.05,1.84
62,Karur Vysya Bank Apps,0.05,20.63,0,0,0,0,0.05,20.63
63,Bank of Maharashtra Apps,0.05,10.37,0,0,0,0.12,0.05,10.49
64,Niyo Global,0.04,22.56,0,0,0,0,0.04,22.56
65,MakeMyTrip,0.04,18.12,0,0,0,0,0.04,18.12
66,Equitas Small Finance Bank Apps,0.04,25.35,0,0,0,0,0.04,25.35
67,Punjab Sind Bank Apps,0.03,12.97,0,0,0,0,0.03,12.97
68,Other Apps,1.15,145.19,0,0,0.14,3.74,1.29,148.93
