Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,10.66,761.39,-,-,0,0,10.66,761.51
2,Allahabad Bank Apps,0.03,8.33,-,-,-,-,0.03,8.33
3,Amazon Pay,50.56,5360.9,-,-,-,-,50.56,5360.9
4,AU Small Finance Bank Apps,0.62,186.48,-,-,-,-,0.62,186.48
5,Axis Bank Apps,9.31,1700.48,48.9,273.18,0.03,3,58.24,1976.67
6,Bajaj Finserv,6.7,965.35,-,-,-,-,6.7,965.35
7,Bajaj Finserv PPI,0.05,12.22,-,-,-,-,0.05,12.22
8,Bajaj Markets,0.01,0.35,-,-,-,-,0.01,0.35
9,Bandhan Bank Apps,0.01,1.5,-,-,-,-,0.01,1.5
10,Bank of America Apps,0.01,2.06,-,-,0,0,0.01,2.07
11,Bank of Baroda Apps,1.16,446.84,-,-,0,0.42,1.16,447.25
12,Bank of India Apps,0.23,71.14,-,-,-,-,0.23,71.14
13,Bank of Maharashtra Apps,0.06,21.29,-,-,-,-,0.06,21.29
14,BHIM,23.68,7498.24,-,-,-,-,23.68,7498.24
15,Canara Bank Apps,1.39,374.43,-,-,-,-,1.39,374.43
16,Central Bank of India Apps,0.36,83.48,-,-,0,0.09,0.36,83.56
17,Citi Bank Apps,0.12,67.55,-,-,0,0.01,0.12,67.55
18,City Union Bank Apps,0.06,18.93,-,-,-,-,0.06,18.93
19,Cointab,0.04,19.07,-,-,-,-,0.04,19.07
20,Cred,42.84,21056.31,-,-,-,-,42.84,21056.31
21,DBS Digibank Apps,0.41,177.88,-,-,-,-,0.41,177.88
22,Deutsche Bank Apps,1.72,167.84,-,-,0.02,19.27,1.73,187.11
23,Dhanlaxmi Bank Apps,0.01,3.21,-,-,-,-,0.01,3.21
24,Equitas Small Finance Bank Apps,0.02,13.57,-,-,-,-,0.02,13.57
25,Eroute,0.27,19.25,-,-,-,-,0.27,19.25
26,Fampay PPI,9.49,124.59,-,-,-,-,9.49,124.59
27,Fave,0.08,6.4,-,-,-,-,0.08,6.4
28,Federal Bank Apps,5.25,648.5,-,-,0,0,5.25,648.51
29,Fino Payments bank Apps,0.13,8.18,-,-,-,-,0.13,8.18
30,Google Pay,3054.44,482896.69,-,-,-,-,3054.44,482896.69
31,Groww,0.18,137.64,-,-,-,-,0.18,137.64
32,HDFC Bank Apps,14.22,3644.87,-,-,0,0.01,14.22,3644.88
33,HSBC Bank Apps,0.14,89.69,0,0.03,0,0,0.14,89.71
34,ICICI Bank Apps,29.46,8773.27,4.87,348.16,7.26,8502.71,41.59,17624.14
35,IDBI Bank Apps,0.07,32.38,-,-,-,-,0.07,32.38
36,IDFC Bank Apps,13.36,2665.21,-,-,0.67,640.96,14.02,3306.18
37,India Post Payments Bank Apps,4.44,667.69,-,-,-,-,4.44,667.69
38,Indian Bank Apps,0.26,75.85,-,-,0,16.56,0.26,92.41
39,Indian Overseas Bank Apps,0.02,4.47,-,-,-,-,0.02,4.47
40,IndusInd Bank Apps,0.93,950.35,-,-,-,-,0.93,950.35
41,Janata Sahakari Bank Apps,0.01,3.74,-,-,-,-,0.01,3.74
42,Jio Payments Bank Apps,1.68,118.72,-,-,-,-,1.68,118.72
43,Jupiter,2.66,358.12,-,-,-,-,2.66,358.12
44,Karnataka Bank Apps,0.42,91.53,-,-,-,-,0.42,91.53
45,Karur Vysya Bank Apps,0.04,15.84,-,-,-,-,0.04,15.84
46,Kotak Mahindra Bank Apps,13.77,2854.64,-,-,0,0.01,13.77,2854.65
47,LivQuick PPI,0.01,0.64,-,-,-,-,0.01,0.64
48,MakeMyTrip,0.05,23.5,-,-,-,-,0.05,23.5
49,Mobikwik,3.64,937.98,-,-,-,-,3.64,937.98
50,NSDL Payments Bank Apps,0.03,3.47,-,-,-,-,0.03,3.47
51,Paytm Payments Bank App,1169.63,133167.49,12.95,20.36,0.55,782.71,1288.38,154430.4
52,PhonePe,4076.32,707410.47,-,-,-,-,4076.32,707410.47
53,Punjab National Bank Apps,0.43,110.59,-,-,-,-,0.43,110.59
54,Punjab Sind Bank Apps,0.04,13.74,-,-,-,-,0.04,13.74
55,RBL Bank Apps,1.79,544.09,0,0,0.09,1.89,1.88,545.98
56,Samsung Pay,5.68,528.09,-,-,-,-,5.68,528.09
57,South Indian Bank Apps,0.22,66.08,-,-,-,-,0.22,66.08
58,Standard Chartered Bank Apps,0.15,94.14,-,-,0,0,0.15,94.14
59,State Bank of India Apps,4.36,2011.57,-,-,0,0.08,4.36,2011.65
60,Tamilnad Mercantile Bank Apps,0.07,12.42,-,-,-,-,0.07,12.42
61,TataNeu,0.12,15,-,-,-,-,0.12,15
62,Transerv PPI,0.06,8.11,-,-,-,-,0.06,8.11
63,UCO Bank Apps,0.36,116.66,-,-,-,-,0.36,116.66
64,Ultracash,0.04,2.61,-,-,-,-,0.04,2.61
65,Union Bank Apps,0.75,310.24,-,-,-,-,0.75,310.24
66,Utkarsh Small Finance Bank Apps,0.02,6.35,-,-,-,-,0.02,6.35
67,WhatsApp,13.35,1144.76,-,-,-,-,13.35,1144.76
68,Yes Bank Apps,30.78,10038.78,-,-,0.68,55.12,31.47,10093.9
69,Others,0.02,5.18,-,-,-,-,0.02,5.18
