Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,9.17,627.09,0,0,0,0,9.17,627.17
2,Allahabad Bank Apps,0.03,8.87,0,0,0,0,0.03,8.87
3,Amazon Pay,57.08,5772.68,0,0,0,0,57.08,5772.68
4,AU Small Finance Bank Apps,0.65,193.87,0,0,0,0,0.65,193.87
5,Axis Bank Apps,10.19,1697.23,37,217,0.03,3,47.38,1916.44
6,Bajaj Finserv,9.12,1189.82,0,0,0,0,9.12,1189.82
7,Bank of Baroda Apps,1.11,412.02,0,0,0,0,1.11,412.03
8,Bank of India Apps,0.22,69.86,0,0,0,0,0.22,69.87
9,BHIM,22.96,7209.87,0,0,0,0,22.96,7209.87
10,BPAYWALLET,0.06,9.65,0,0,0,0,0.06,9.65
11,Canara Bank Apps,1.48,431.27,0,0,0,0,1.48,431.27
12,Central Bank of India Apps,0.43,95.52,0,0,0,0,0.43,95.58
13,Citi Bank Apps,0.09,55.38,0,0,0,0,0.09,55.38
14,City Union Bank Apps,0.06,20.02,0,0,0,0,0.06,20.02
15,Cointab,0.01,4.24,0,0,0,0,0.01,4.24
16,Cred,61.04,23426.74,0,0,0,0,61.04,23426.74
17,DBS Digibank Apps,0.42,174.75,0,0,0,0,0.42,174.75
18,Deutsche Bank Apps,1.89,174.25,0,0,0,0,1.89,174.27
19,DHANI,0.04,7.55,0,0,0,0,0.04,7.55
20,Dhanlaxmi Bank Apps,0.01,2.93,0,0,0,0,0.01,2.93
21,Equitas Small Finance Bank Apps,0.03,16.31,0,0,0,0,0.03,16.31
22,FAM,13.78,166.5,0,0,0,0,13.78,166.5
23,Fave,0.02,1.68,0,0,0,0,0.02,1.68
24,Federal Bank Apps,5.12,643.6,0,0,0,0,5.12,643.62
25,Fino Payments bank Apps,0.09,6.6,0,0,0,0,0.09,6.6
26,Google Pay,3274.69,497748.17,0,0,0,0,3274.69,497748.17
27,Groww,0.47,287.97,0,0,0,0,0.47,287.97
28,HDFC Bank Apps,16.07,3979.33,0,0,0,3,16.07,3982.69
29,HSBC Bank Apps,0.14,87.42,0,0,0,0,0.14,87.5
30,ICICI Bank Apps,33.59,9965.41,5.23,380,5.09,6755,43.92,17101.09
31,IDBI Bank Apps,0.08,34.64,0,0,0,0,0.08,34.64
32,IDFC Bank Apps,8.52,1688.6,0,0,0.04,7,8.56,1696.01
33,India Post Payments Bank Apps,5.04,775.77,0,0,0,0,5.04,775.77
34,Indian Bank Apps,0.28,80.31,0,0,0,4,0.28,84.07
35,Indian Overseas Bank Apps,0.04,10.5,0,0,0,0,0.04,10.5
36,IndusInd Bank Apps,0.81,886.1,0,0,0,0,0.81,886.1
37,Jammu and Kashmir Bank Apps,0.01,2,0,0,0,0,0.01,2
38,Jio Payments Bank Apps,1.56,119.8,0,0,0,0,1.56,119.8
39,Jupiter,2.94,415.04,0,0,0,0,2.94,415.04
40,Akudo & Muvin (Livquik),0.18,6.62,0,0,0,0,0.18,6.62
41,Karnataka Bank Apps,0.63,127.13,0,0,0,0,0.63,127.13
42,Karur Vysya Bank Apps,0.04,13.65,0,0,0,0,0.04,13.65
43,Kotak Mahindra Bank Apps,16.31,3139.04,0,0,0,0,16.31,3139.05
44,MakeMyTrip,0.02,8.01,0,0,0,0,0.02,8.01
45,Mobikwik,3.59,997.92,0,0,0,0,3.59,997.92
46,NSDL Payments Bank Apps,0.02,3.28,0,0,0,0,0.02,3.28
47,OMNI,0.39,10.1,0,0,0,0,0.39,10.1
48,Paytm Payments Bank App,1229.38,142291.76,3.95,7,0.56,887,1342.28,164843.79
49,PhonePe,4499.2,757276.68,0,0,0,0,4499.2,757276.68
50,PINELABS,0.06,3.25,0,0,0,0,0.06,3.25
51,Punjab National Bank Apps,1.1,177.63,0,0,0,0,1.1,177.69
52,Punjab Sind Bank Apps,0.04,13.71,0,0,0,0,0.04,13.71
53,RBL Bank Apps,1.06,484.53,0,0,0.18,5,1.24,489.36
54,RBLBANK,0.01,0.06,0,0,0,0,0.01,0.06
55,Samsung Pay,5.83,535.16,0,0,0,0,5.83,535.16
56,slice,0.83,194.68,0,0,0,0,0.83,194.68
57,South Indian Bank Apps,0.25,71.46,0,0,0,0,0.25,71.46
58,Standard Chartered Bank Apps,0.15,91.48,0,0,0,0,0.15,91.48
59,State Bank of India Apps,4.48,1969.72,0,0,0.01,0,4.48,1969.95
60,Tamilnad Mercantile Bank Apps,0.07,14.83,0,0,0,0,0.07,14.83
61,TataNeu,0.15,19.28,0,0,0,0,0.15,19.28
62,UCO Bank Apps,0.36,118.26,0,0,0,0,0.36,118.26
63,Ultracash,0.01,1.13,0,0,0,0,0.01,1.13
64,Union Bank Apps,0.76,306.93,0,0,0,0,0.76,306.93
65,Utkarsh Small Finance Bank Apps,0.02,6.81,0,0,0,0,0.02,6.81
66,WhatsApp,15.98,1477.06,0,0,0,0,15.98,1477.06
67,Yes Bank Apps,42.21,12934.66,0,0,0.44,72,42.65,13006.24
68,Zomato,0.01,0.43,0,0,0,0,0.01,0.43
69,Others,0.03,10.98,0,0,0,0,0.03,10.98
