Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,8.33,1934.41,-,-,-,-,13.16,4492.25
2,Allahabad Bank Apps,0.02,6.15,-,-,-,-,0.02,6.15
3,Amazon Pay,76.34,6894.78,-,-,-,-,76.34,6894.78
4,AU Small Finance Bank Apps,0.29,104.48,-,-,-,-,0.29,104.48
5,Axis Bank Apps,7.09,1045.13,54.21,39.81,0,0,61.29,1084.94
6,Bajaj Finserv,0.35,24.08,-,-,-,-,0.35,24.08
7,Bank of Baroda Apps,0.69,328.61,-,-,-,-,0.69,328.61
8,Bank of India Apps,0.08,26.22,-,-,-,-,0.08,26.22
9,Bank of Maharashtra Apps,0.05,15,-,-,-,-,0.05,15
10,BHIM,24.88,8050.24,-,-,-,-,24.88,8050.24
11,Canara Bank Apps,0.31,109.68,-,-,-,-,0.31,109.68
12,Central Bank of India Apps,0.14,50.67,-,-,-,-,0.14,50.67
13,Citi Bank Apps,0.11,68.41,-,-,-,-,0.11,68.41
14,City Union Bank Apps,0.03,7.3,-,-,-,-,0.03,7.3
15,Cointab,0.08,33.22,-,-,-,-,0.08,33.22
16,Cred,12.11,16136.11,-,-,-,-,12.11,16136.11
17,DBS Digibank Apps,0.49,185.52,-,-,-,-,0.49,185.52
18,Dena Bank Apps,0.02,29.32,-,-,-,-,0.02,29.32
19,Deutsche Bank Apps,1.02,91.66,-,-,0,1.36,1.02,93.02
20,Dhanlaxmi Bank Apps,0.01,3.29,-,-,-,-,0.01,3.29
21,Fave,0.37,13,-,-,-,-,0.37,13
22,Federal Bank Apps,2.45,360.96,-,-,-,-,2.45,360.96
23,Fino Payments bank Apps,0.04,3.47,-,-,-,-,0.04,3.47
24,Finserv Markets,0.03,1.49,-,-,-,-,0.03,1.49
25,Finshell Pay,0.08,4,-,-,-,-,0.08,4
26,GoIbibo,0.02,5.91,-,-,-,-,0.02,5.91
27,Google Pay,1838.12,338873.25,-,-,-,-,1838.12,338873.25
28,Groww,0.83,472.71,-,-,-,-,0.83,472.71
29,HDFC Bank Apps,5.45,1624.54,-,-,-,-,5.45,1624.54
30,HSBC Bank Apps,0.1,61.85,0,0.16,-,-,0.1,62
31,ICICI Bank Apps,31.49,10304.08,3.65,234.61,-,-,35.13,10538.69
32,IDBI Bank Apps,0.03,16.25,-,-,-,-,0.03,16.25
33,IDFC Bank Apps,2.7,534.56,-,-,0,0,2.7,534.56
34,India Post Payments Bank Apps,2.95,321.14,-,-,-,-,2.95,321.14
35,Indian Bank Apps,0.11,42.26,-,-,0,0,0.11,42.26
36,Indian Overseas Bank Apps,0.01,1.62,-,-,-,-,0.01,1.62
37,IndusInd Bank Apps,1.03,2252.3,-,-,-,-,1.03,2252.3
38,Jammu and Kashmir Bank Apps,0.01,2.15,-,-,-,-,0.01,2.15
39,Janata Sahakari Bank Apps,0.01,4.51,-,-,-,-,0.01,4.51
40,Jio Payments Bank Apps,2.27,129.5,-,-,-,-,2.27,129.5
41,Jupiter,1.32,164.8,-,-,-,-,1.32,164.8
42,Karnataka Bank Apps,0.3,37.96,-,-,0,0,0.3,37.96
43,Karur Vysya Bank Apps,0.04,18.29,-,-,-,-,0.04,18.29
44,Kotak Mahindra Bank Apps,7.92,1587.51,-,-,-,-,7.92,1587.51
45,MakeMyTrip,0.1,47.1,-,-,-,-,0.1,47.1
46,MI Pay,0.24,36.02,-,-,-,-,0.24,36.02
47,Mobikwik,3.6,739.25,-,-,-,-,3.6,739.25
48,NSDL Payments Bank Apps,0.02,2.28,-,-,-,-,0.02,2.28
49,Paytm Payments Bank App,729.63,83840.44,9.77,17.68,-,-,837.14,95650.36
50,PhonePe,2527.15,471401.26,-,-,-,-,2527.15,471401.26
51,Punjab National Bank Apps,0.09,46.64,-,-,-,-,0.09,46.64
52,Punjab Sind Bank Apps,0.01,3.8,-,-,-,-,0.01,3.8
53,RBL Bank Apps,0.46,126.74,-,-,0,0,0.46,126.75
54,Samsung Pay,3.73,473.5,-,-,-,-,3.73,473.5
55,South Indian Bank Apps,0.13,44.63,-,-,-,-,0.13,44.63
56,Standard Chartered Bank Apps,0.13,69.84,-,-,-,-,0.13,69.84
57,State Bank of India Apps,4.01,2130.56,-,-,0,0,4.01,2130.56
58,SuperPay,0.1,0.64,-,-,-,-,0.1,0.64
59,UCO Bank Apps,0.19,40.88,-,-,-,-,0.19,40.88
60,Ultracash,0.03,1.12,-,-,-,-,0.03,1.12
61,Union Bank Apps,0.41,197.01,-,-,-,-,0.41,197.01
62,Utkarsh Small Finance Bank Apps,0.01,3.9,-,-,-,-,0.01,3.9
63,WhatsApp,2.54,239.78,-,-,-,-,2.54,239.78
64,Yes Bank Apps,35.25,8746.74,0,0,-,-,35.25,8746.74
65,YuvaPay,0.06,105.39,-,-,-,-,0.06,105.39
66,Others,0.02,8.11,-,-,-,-,0.02,8.11
