Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe,4987.33,775265.57,0,0,0,0,4987.33,775265.57
2,Google Pay,3767.68,538113.42,0,0,0,0,3767.68,538113.42
3,Paytm Payments Bank App,1363.05,153577.58,1.86,5.06,0.59,939,1484.82,176804.51
4,Cred,85.13,31926.2,0,0,0,0,85.13,31926.2
5,Axis Bank Apps,9.37,1753.27,60,1275.96,0.05,7.88,69.43,3037.11
6,Amazon Pay,54.02,5836.99,0,0,0,0,54.02,5836.99
7,ICICI Bank Apps,25.85,9721.96,4.29,333.25,8.42,10943.9,38.57,20999.12
8,Yes Bank Apps,28.51,11154.68,0,0,0.44,100.09,28.94,11254.77
9,BHIM,24.61,7793.58,0,0,0,0,24.61,7793.58
10,Kotak Mahindra Bank Apps,21.16,3675.16,0,0,0.01,2.88,21.17,3678.04
11,FAM,20.27,235.89,0,0,0,0,20.27,235.89
12,WhatsApp,19.7,1677.53,0,0,0,0,19.7,1677.53
13,HDFC Bank Apps,18.94,4671.76,0,0,0,0,18.94,4671.76
14,Bajaj Finserv,13.22,1995.11,0,0,0,0,13.22,1995.11
15,Airtel Payments Bank Apps,10.2,699.21,0,0,0,0,10.2,699.27
16,Samsung Pay,6,538.48,0,0,0,0,6,538.48
17,Federal Bank Apps,5.7,700.65,0,0,0,0.01,5.7,700.66
18,India Post Payments Bank Apps,5.56,498.37,0,0,0,0,5.56,498.37
19,State Bank of India Apps,5.36,2104.14,0,0,0.02,0.67,5.39,2104.81
20,Groww,4.74,2911.09,0,0,0,0,4.74,2911.09
21,IDFC Bank Apps,4.36,1107.81,0,0,0,0,4.36,1107.81
22,Mobikwik,3.96,1203.54,0,0,0,0,3.96,1203.54
23,Jupiter,3.94,500.95,0,0,0,0,3.94,500.95
24,Standard Chartered Bank Apps,3.31,369.55,0,0,0.28,144.89,3.59,514.44
25,Deutsche Bank Apps,2.08,359.84,0,0,0,0.01,2.08,359.86
26,Canara Bank Apps,1.64,492.29,0,0,0,0,1.64,492.29
27,Jio Payments Bank Apps,1.42,113.65,0,0,0,0,1.42,113.65
28,RBL Bank Apps,1.2,540.67,0,0.02,0.19,7.62,1.38,548.31
29,Bank of Baroda Apps,1.27,462.61,0,0,0,4.23,1.27,466.84
30,slice,0.96,306.89,0,0,0,0,0.96,306.89
31,Union Bank Apps,0.9,324.77,0,0,0,0,0.9,324.77
32,Punjab National Bank Apps,0.86,179.75,0,0,0,0,0.86,179.75
33,IndusInd Bank Apps,0.85,391.31,0,0,0,0,0.85,391.31
34,OMNI,0.77,25.2,0,0,0,0,0.77,25.2
35,AU Small Finance Bank Apps,0.71,218.16,0,0,0,0,0.71,218.16
36,KIWI,0.69,69.86,0,0,0,0,0.69,69.86
37,Karnataka Bank Apps,0.65,127.83,0,0,0,0,0.65,127.83
38,DBS Digibank Apps,0.46,173.89,0,0,0,0.18,0.46,174.06
39,Central Bank of India Apps,0.45,96.12,0,0,0,0.29,0.45,96.41
40,UCO Bank Apps,0.38,132.77,0,0,0,0,0.38,132.77
41,Indian Bank Apps,0.33,88.52,0,0,0,3.17,0.33,91.69
42,Bank of India Apps,0.29,85.09,0,0,0,0,0.29,85.09
43,South Indian Bank Apps,0.28,77.42,0,0,0,0,0.28,77.42
44,Fino Payments bank Apps,0.21,15.43,0,0,0,0,0.21,15.43
45,HSBC Bank Apps,0.17,98.09,0,0.1,0,0,0.17,98.19
46,BPAYWALLET,0.15,32.07,0,0,0,0,0.15,32.07
47,Fave,0.12,7.54,0,0,0,0,0.12,7.54
48,TataNeu,0.1,16.09,0,0,0,0,0.1,16.09
49,Tamilnad Mercantile Bank Apps,0.1,25.45,0,0,0,0,0.1,25.45
50,Ultracash,0.09,6.17,0,0,0,0,0.09,6.17
51,Citi Bank Apps,0.08,58.11,0,0,0,0,0.08,58.11
52,Indian Overseas Bank Apps,0.07,19.01,0,0,0,0,0.07,19.01
53,City Union Bank Apps,0.07,19.79,0,0,0,0,0.07,19.79
54,IDBI Bank Apps,0.06,31.69,0,0,0,0,0.06,31.69
55,INDIE,0.05,12.6,0,0,0,0,0.05,12.6
