Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,9.04,640.16,0,0,0,0,9.04,640.22
2,Allahabad Bank Apps,0.03,8.96,0,0,0,0,0.03,8.96
3,Amazon Pay,53.44,5351.07,0,0,0,0,53.44,5351.07
4,AU Small Finance Bank Apps,0.63,184.93,0,0,0,0,0.63,184.93
5,Axis Bank Apps,9.36,1584.45,42.35,282.63,0.03,2.81,51.74,1869.89
6,Bajaj Finserv,7.68,1053.08,0,0,0,0,7.68,1053.08
7,Bandhan Bank Apps,0.01,1.44,0,0,0,0,0.01,1.44
8,Bank of Baroda Apps,1.06,392.74,0,0,0,0,1.06,392.74
9,Bank of India Apps,0.22,66.93,0,0,0,0,0.22,66.93
10,Bank of Maharashtra Apps,0.06,19.83,0,0,0,0,0.06,19.83
11,BHIM,23.77,7368.61,0,0,0,0,23.77,7368.61
12,BPAYWALLET,0.05,9.91,0,0,0,0,0.05,9.91
13,Canara Bank Apps,1.4,383.46,0,0,0,0,1.4,383.46
14,Central Bank of India Apps,0.41,91.19,0,0,0,0.08,0.41,91.27
15,Citi Bank Apps,0.1,58.17,0,0,0,0,0.1,58.17
16,City Union Bank Apps,0.06,18.31,0,0,0,0,0.06,18.31
17,Cointab,0.02,10.61,0,0,0,0,0.02,10.61
18,Cred,45.7,20729.56,0,0,0,0,45.7,20729.56
19,DBS Digibank Apps,0.41,173.13,0,0,0,0,0.41,173.13
20,Deutsche Bank Apps,1.65,142.8,0,0,0,0.86,1.65,143.66
21,DHANI,0.08,9.21,0,0,0,0,0.08,9.21
22,Dhanlaxmi Bank Apps,0.01,2.8,0,0,0,0,0.01,2.8
23,Equitas Small Finance Bank Apps,0.02,13.86,0,0,0,0,0.02,13.86
24,FAM,11.78,146.58,0,0,0,0,11.78,146.58
25,Fave,0.03,3.27,0,0,0,0,0.03,3.27
26,Federal Bank Apps,5.18,624.64,0,0,0,0,5.18,624.64
27,Fino Payments bank Apps,0.08,5.67,0,0,0,0,0.08,5.67
28,Google Pay,3109.24,474049.9,0,0,0,0,3109.24,474049.9
29,Groww,0.11,80.85,0,0,0,0,0.11,80.85
30,HDFC Bank Apps,14.48,3685.33,0,0,0,16.48,14.48,3701.81
31,HSBC Bank Apps,0.14,90.1,0,0.03,0,0,0.14,90.13
32,ICICI Bank Apps,30.69,8941.59,5.34,323.96,5.95,7439.02,41.98,16704.57
33,IDBI Bank Apps,0.07,32.02,0,0,0,0,0.07,32.02
34,IDFC Bank Apps,11.96,2274.12,0,0,0.71,591.19,12.66,2865.32
35,India Post Payments Bank Apps,5.24,746.48,0,0,0,0,5.24,746.48
36,Indian Bank Apps,0.27,75.66,0,0,0,10.71,0.27,86.37
37,Indian Overseas Bank Apps,0.03,7.76,0,0,0,0,0.03,7.76
38,IndusInd Bank Apps,0.8,877.27,0,0,0,0,0.8,877.27
39,Jio Payments Bank Apps,1.49,112.21,0,0,0,0,1.49,112.21
40,Jupiter,2.72,380.27,0,0,0,0,2.72,380.27
41,Akudo & Muvin (Livquik),0.11,4.25,0,0,0,0,0.11,4.25
42,Karnataka Bank Apps,0.51,110.35,0,0,0,0,0.51,110.35
43,Karur Vysya Bank Apps,0.04,14.19,0,0,0,0,0.04,14.19
44,Kotak Mahindra Bank Apps,13.98,2845.64,0,0,0,0.01,13.98,2845.65
45,MakeMyTrip,0.02,12.91,0,0,0,0,0.02,12.91
46,Mobikwik,3.48,923.59,0,0,0,0,3.48,923.59
47,NSDL Payments Bank Apps,0.02,3.42,0,0,0,0,0.02,3.42
48,OMNI,0.26,6.74,0,0,0,0,0.26,6.74
49,Paytm Payments Bank App,1184.38,135343.96,8.83,14.25,0.53,793.27,1299.25,155711.73
50,PhonePe,4216.99,710178.44,0,0,0,0,4216.99,710178.44
51,PINELABS,0.02,1.31,0,0,0,0,0.02,1.31
52,Punjab National Bank Apps,1.03,148.27,0,0,0,0.01,1.03,148.28
53,Punjab Sind Bank Apps,0.04,14.04,0,0,0,0,0.04,14.04
54,RBL Bank Apps,1.56,489.63,0,0,0.1,2.7,1.66,492.33
55,Samsung Pay,5.67,511.04,0,0,0,0,5.67,511.04
56,Slash,0.01,0.32,0,0,0,0,0.01,0.32
57,slice,0.66,170.62,0,0,0,0,0.66,170.62
58,South Indian Bank Apps,0.22,63.81,0,0,0,0,0.22,63.81
59,Standard Chartered Bank Apps,0.16,94.21,0,0,0,0,0.16,94.22
60,State Bank of India Apps,4.09,1910.04,0,0,0,0.11,4.09,1910.15
61,Tamilnad Mercantile Bank Apps,0.06,13.15,0,0,0,0,0.06,13.15
62,TataNeu,0.15,16.46,0,0,0,0,0.15,16.46
63,UCO Bank Apps,0.34,111.87,0,0,0,0,0.34,111.87
64,Ultracash,0.03,2.1,0,0,0,0,0.03,2.1
65,Union Bank Apps,0.74,301.17,0,0,0,0,0.74,301.17
66,Utkarsh Small Finance Bank Apps,0.02,6.43,0,0,0,0,0.02,6.43
67,WhatsApp,14.83,1319.01,0,0,0,0,14.83,1319.01
68,Yes Bank Apps,34.45,12151,0,0,0.88,303.98,35.33,12454.98
69,Others,0.03,8.54,0,0,0,0,0.03,8.54
