Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,7.4,555.09,-,-,0,0,7.41,555.26
2,Allahabad Bank Apps,0.03,6.95,-,-,-,-,0.03,6.95
3,Amazon Pay,68.77,6751.8,-,-,-,-,68.77,6751.8
4,AU Small Finance Bank Apps,0.42,131.49,-,-,-,-,0.42,131.49
5,Axis Bank Apps,7.35,1174.32,46.63,38.1,0.02,1.53,53.99,1213.95
6,Bajaj Finserv,1.95,128.52,-,-,-,-,1.95,128.52
7,Bajaj Markets,0.02,1.66,-,-,-,-,0.02,1.66
8,Bandhan Bank Apps,0.01,1.35,-,-,-,-,0.01,1.35
9,Bank of Baroda Apps,0.88,354.45,-,-,0,0,0.88,354.45
10,Bank of India Apps,0.15,46.44,-,-,-,-,0.15,46.44
11,Bank of Maharashtra Apps,0.06,16.47,-,-,-,-,0.06,16.47
12,BHIM,24.48,7823.95,-,-,-,-,24.48,7823.95
13,Canara Bank Apps,0.47,128.79,-,-,-,-,0.47,128.79
14,Central Bank of India Apps,0.22,58.37,-,-,0,0,0.22,58.37
15,Citi Bank Apps,0.11,63.66,-,-,0,0,0.11,63.66
16,City Union Bank Apps,0.03,10.19,-,-,-,-,0.03,10.19
17,Cointab,0.07,27.3,-,-,-,-,0.07,27.3
18,Cred,14.89,19716.43,-,-,-,-,14.89,19716.43
19,DBS Digibank Apps,0.47,179.27,-,-,-,-,0.47,179.27
20,Deutsche Bank Apps,1.87,116,-,-,0,0.01,1.87,116.01
21,Dhanlaxmi Bank Apps,0.01,2.86,-,-,-,-,0.01,2.86
22,Equitas Small Finance Bank Apps,0.01,4.89,-,-,-,-,0.01,4.89
23,Fave,0.16,11.06,-,-,-,-,0.16,11.06
24,Federal Bank Apps,3.85,539.55,-,-,0,0,3.85,539.55
25,Fino Payments Bank Apps,0.06,4.26,-,-,-,-,0.06,4.26
26,GoIbibo,0.01,5.1,-,-,-,-,0.01,5.1
27,Google Pay,2130.63,366669.09,-,-,-,-,2130.63,366669.09
28,Groww,0.49,290.31,-,-,-,-,0.49,290.31
29,HDFC Bank Apps,9.38,2341.28,-,-,-,-,9.38,2341.28
30,HSBC Bank Apps,0.11,68.43,0,0.04,0,0,0.11,68.47
31,ICICI Bank Apps,32.53,7745.19,0.46,32.24,4.36,3731.87,37.34,11509.29
32,IDBI Bank Apps,0.03,16.42,-,-,-,-,0.03,16.42
33,IDFC Bank Apps,8.28,645.34,-,-,0,0,8.28,645.34
34,India Post Payments Bank Apps,4.08,480.59,-,-,-,-,4.08,480.59
35,Indian Bank Apps,0.2,58.15,-,-,0.01,13.23,0.21,71.39
36,Indian Overseas Bank Apps,0.01,3.74,-,-,-,-,0.01,3.74
37,IndusInd Bank Apps,0.99,1652.26,-,-,-,-,0.99,1652.26
38,Janata Sahakari Bank Apps,0.01,4.15,-,-,-,-,0.01,4.15
39,Jio Payments Bank Apps,1.9,116.59,-,-,-,-,1.9,116.59
40,Jupiter,2.1,254.14,-,-,-,-,2.1,254.14
41,Karnataka Bank Apps,0.35,48.01,-,-,-,-,0.35,48.01
42,Karur Vysya Bank Apps,0.04,15.66,-,-,-,-,0.04,15.66
43,Kotak Mahindra Bank Apps,8.86,1815.87,-,-,0,0.46,8.86,1816.33
44,MakeMyTrip,0.13,58.19,-,-,-,-,0.13,58.19
45,MI Pay,0.16,26.98,-,-,-,-,0.16,26.98
46,Mobikwik,2.48,462.17,-,-,-,-,2.48,462.17
47,NSDL Payments Bank Apps,0.02,3.5,-,-,-,-,0.02,3.5
48,Paytm Payments Bank App,828.63,94507.77,0.55,1.91,0.38,465.62,933.88,111149.66
49,PhonePe,2993.83,524742.49,-,-,-,-,2993.83,524742.49
50,Punjab National Bank Apps,0.07,35.7,-,-,-,-,0.07,35.7
51,Punjab Sind Bank Apps,0.01,4.03,-,-,-,-,0.01,4.03
52,RBL Bank Apps,0.52,120.48,-,-,0.02,0.69,0.54,121.17
53,Samsung Pay,4.05,472.39,-,-,-,-,4.05,472.39
54,South Indian Bank Apps,0.15,46.97,-,-,-,-,0.15,46.97
55,Standard Chartered Bank Apps,0.14,74.11,-,-,-,-,0.14,74.11
56,State Bank of India Apps,4.15,2013.47,-,-,0,0,4.15,2013.47
57,Tamilnad Mercantile Bank Apps,0.05,6.78,-,-,-,-,0.05,6.78
58,TataNeu,0.11,17.26,-,-,-,-,0.11,17.26
59,TJSB Bank Apps,0.01,2.26,-,-,-,-,0.01,2.26
60,UCO Bank Apps,0.22,46.83,-,-,-,-,0.22,46.83
61,Ultracash,0.03,2.08,-,-,-,-,0.03,2.08
62,Union Bank Apps,0.49,208.03,-,-,-,-,0.49,208.03
63,Utkarsh Small Finance Bank Apps,0.02,4.55,-,-,-,-,0.02,4.55
64,WhatsApp,6.18,502,-,-,-,-,6.18,502
65,Yes Bank Apps,55.35,13868.41,0,0,5.45,1367.63,60.8,15236.04
66,YuvaPay,0.01,21.38,-,-,-,-,0.01,21.38
67,Others,0.02,5.15,-,-,-,-,0.02,5.15
