Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,9.14,680.76,-,-,0,0.02,9.15,680.89
2,Allahabad Bank Apps,0.03,8.1,-,-,-,-,0.03,8.1
3,Amazon Pay,57.38,6015.31,-,-,-,-,57.38,6015.31
4,AU Small Finance Bank Apps,0.48,148.9,-,-,-,-,0.48,148.9
5,Axis Bank Apps,7.46,1421.09,50.24,46.13,0.02,1.85,57.72,1469.07
6,Bajaj Finserv,3.29,234.81,-,-,-,-,3.29,234.81
7,Bajaj Markets,0.01,1.38,-,-,-,-,0.01,1.38
8,Bandhan Bank Apps,0.01,1.88,-,-,-,-,0.01,1.88
9,Bank of Baroda Apps,1.11,443.84,-,-,0,0,1.11,443.85
10,Bank of India Apps,0.18,54.59,-,-,-,-,0.18,54.59
11,Bank of Maharashtra Apps,0.07,17.23,-,-,-,-,0.07,17.23
12,BHIM,25.17,8308.65,-,-,-,-,25.17,8308.65
13,Canara Bank Apps,0.78,207.18,-,-,0,0,0.78,207.18
14,Central Bank of India Apps,0.28,68.37,-,-,0,0.01,0.28,68.38
15,Citi Bank Apps,0.1,67,-,-,0,0,0.1,67
16,City Union Bank Apps,0.04,12.45,-,-,-,-,0.04,12.45
17,Cointab,0.04,19.35,-,-,-,-,0.04,19.35
18,Cred,14.96,19237.92,-,-,-,-,14.96,19237.92
19,DBS Digibank Apps,0.43,176.91,-,-,-,-,0.43,176.91
20,Deutsche Bank Apps,1.58,98.43,-,-,0,0.01,1.58,98.43
21,Dhanlaxmi Bank Apps,0.01,2.87,-,-,-,-,0.01,2.87
22,Equitas Small Finance Bank Apps,0.02,8.76,-,-,-,-,0.02,8.76
23,Fave,0.08,4.4,-,-,-,-,0.08,4.4
24,Federal Bank Apps,3.84,549.95,-,-,0,0,3.84,549.95
25,Fino Payments bank Apps,0.08,5.66,-,-,-,-,0.08,5.66
26,GoIbibo,0.01,3.58,-,-,-,-,0.01,3.58
27,Google Pay,2296.14,387996.14,-,-,-,-,2296.14,387996.14
28,Groww,0.11,68.03,-,-,-,-,0.11,68.03
29,HDFC Bank Apps,10.98,2686.1,-,-,-,-,10.98,2686.1
30,HSBC Bank Apps,0.12,70.14,0,0.43,0,0,0.12,70.56
31,ICICI Bank Apps,26.54,6862.5,4.84,366.84,3.45,3172.47,34.84,10401.81
32,IDBI Bank Apps,0.05,24.18,-,-,-,-,0.05,24.18
33,IDFC Bank Apps,11.53,824.51,-,-,0,0.01,11.53,824.52
34,India Post Payments Bank Apps,5.22,572.75,-,-,-,-,5.22,572.75
35,Indian Bank Apps,0.21,63.62,-,-,0,1.96,0.21,65.58
36,Indian Overseas Bank Apps,0.02,4.79,-,-,-,-,0.02,4.79
37,IndusInd Bank Apps,1.04,1439.51,-,-,-,-,1.04,1439.51
38,Janata Sahakari Bank Apps,0.01,4.42,-,-,-,-,0.01,4.42
39,Jio Payments Bank Apps,1.4,90.36,-,-,-,-,1.4,90.36
40,Jupiter,2.09,259.71,-,-,-,-,2.09,259.71
41,Karnataka Bank Apps,0.4,63.84,-,-,-,-,0.4,63.84
42,Karur Vysya Bank Apps,0.04,16.74,-,-,-,-,0.04,16.74
43,Kotak Mahindra Bank Apps,10.52,2230.6,-,-,0,0,10.52,2230.61
44,MakeMyTrip,0.1,47.83,-,-,-,-,0.1,47.83
45,MI Pay,0.03,3.87,-,-,-,-,0.03,3.87
46,Mobikwik,3.04,632.71,-,-,-,-,3.04,632.71
47,NSDL Payments Bank Apps,0.02,2.79,-,-,-,-,0.02,2.79
48,Paytm Payments Bank App,924.77,101163.26,2.92,9.55,0.4,489.04,1037.2,120805.34
49,PhonePe,3216.78,549583.77,-,-,-,-,3216.78,549583.77
50,Punjab National Bank Apps,0.13,59.01,-,-,-,-,0.13,59.01
51,Punjab Sind Bank Apps,0.02,6.88,-,-,-,-,0.02,6.88
52,RBL Bank Apps,0.96,199.7,-,-,0.03,1.21,0.99,200.91
53,Samsung Pay,4.55,495.89,-,-,-,-,4.55,495.89
54,South Indian Bank Apps,0.17,56.54,-,-,-,-,0.17,56.54
55,Standard Chartered Bank Apps,0.14,78.49,0,0,0,0.01,0.14,78.5
56,State Bank of India Apps,3.57,1818.89,-,-,-,-,3.57,1818.89
57,Tamilnad Mercantile Bank Apps,0.06,9.21,-,-,-,-,0.06,9.21
58,TataNeu,0.13,17.23,-,-,-,-,0.13,17.23
59,TJSB Bank Apps,0.01,2.06,-,-,-,-,0.01,2.06
60,UCO Bank Apps,0.26,75.02,-,-,-,-,0.26,75.02
61,Ultracash,0.01,0.7,-,-,-,-,0.01,0.7
62,Union Bank Apps,0.55,237.54,-,-,-,-,0.55,237.54
63,Utkarsh Small Finance Bank Apps,0.02,5.59,-,-,-,-,0.02,5.59
64,WhatsApp,7.43,631.63,-,-,-,-,7.43,631.63
65,Yes Bank Apps,60.8,14034.34,-,-,2.3,2103.46,63.1,16137.8
66,Others,0.01,4.85,-,-,-,-,0.01,4.85
