Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe,5281.68,854939.06,0,0,0,0,5281.68,854939.06
2,Google Pay,4099.08,599748.64,0,0,0,0,4099.08,599748.64
3,Paytm Payments Bank App,1360.45,166257.62,4.68,8,0.73,1314.75,1479.47,191150.29
4,Cred,93.31,34541.32,0,0,0,0,93.31,34541.32
5,Axis Bank Apps,11.52,2305.08,54.43,1453.3,0.07,7.27,66.02,3765.68
6,Amazon Pay,48.62,5737.75,0,0,0,0,48.62,5737.75
7,ICICI Bank Apps,27.41,11134.92,4.79,456.4,8.55,12088.53,40.75,23679.82
8,Fampay,28.43,336.92,0,0,0,0,28.43,336.92
9,Yes Bank Apps,25.77,11004.32,0,0,0.28,66.93,26.06,11071.25
10,Kotak Mahindra Bank Apps,23.88,4341.61,0,0,0,0,23.88,4341.61
11,BHIM,23.49,7957.46,0,0,0,0,23.49,7957.46
12,WhatsApp,22.29,1917.47,0,0,0,0,22.29,1917.47
13,HDFC Bank Apps,20.68,5511.35,0,0,0,0,20.68,5511.35
14,Bajaj Finserv,15.95,2406.06,0,0,0,0,15.95,2406.06
15,Airtel Payments Bank Apps,11.06,795.35,0,0,0,0,11.34,827.06
16,Samsung Pay,5.84,557.36,0,0,0,0,5.84,557.36
17,Federal Bank Apps,5.51,698.05,0,0,0,0.01,5.51,698.06
18,State Bank of India Apps,5.36,2162.43,0,0,0.02,0.66,5.38,2163.09
19,India Post Payments Bank Apps,5.27,532.66,0,0,0,0,5.27,532.66
20,IDFC Bank Apps,4.96,1306.91,0,0,0,0,4.96,1306.91
21,Groww,4.59,2528.81,0,0,0,0,4.59,2528.81
22,Mobikwik,4.52,1467.04,0,0,0,0,4.52,1467.04
23,Standard Chartered Bank Apps,3.82,262.18,0,0,0.57,244.75,4.39,506.93
24,Jupiter,4.29,577.81,0,0,0,0,4.29,577.81
25,Deutsche Bank Apps,3.26,268.83,0,0,0,0.02,3.26,268.85
26,Canara Bank Apps,2.29,667.04,0,0,0,0,2.29,667.04
27,RBL Bank Apps,1.85,621.67,0,0,0.37,18.3,2.23,639.97
28,slice,1.58,359.47,0,0,0,0,1.58,359.47
29,Jio Payments Bank Apps,1.26,117.05,0,0,0,0,1.26,117.05
30,Omnicard,1.09,37.85,0,0,0,0,1.09,37.85
31,Punjab National Bank Apps,1.04,214.29,0,0,0,0,1.04,214.29
32,Union Bank Apps,0.95,376.07,0,0,0,0,0.95,376.07
33,Bank of Baroda Apps,0.95,412.54,0,0,0,7.13,0.95,419.67
34,IndusInd Bank Apps,0.9,193.07,0,0,0,0,0.9,193.07
35,GoKiwi,0.76,93.99,0,0,0,0,0.76,93.99
36,SLICE,0.69,27.42,0,0,0,0,0.69,27.42
37,Karnataka Bank Apps,0.68,138.91,0,0,0,0.01,0.68,138.92
38,AU Small Finance Bank Apps,0.66,239.22,0,0,0,0,0.66,239.22
39,Navi,0.6,37.44,0,0,0,0,0.6,37.44
40,DBS Digibank Apps,0.52,196.26,0,0,0,0.61,0.52,196.87
41,Central Bank of India Apps,0.51,117.17,0,0,0,0.27,0.51,117.44
42,Indian Bank Apps,0.36,89.84,0,0,0,4.1,0.36,93.94
43,Fino Payments bank Apps,0.27,25,0,0,0,0,0.27,25
44,UCO Bank Apps,0.26,81.93,0,0,0,0,0.26,81.93
45,Bajaj Pay Wallet,0.26,62.02,0,0,0,0,0.26,62.02
46,South Indian Bank Apps,0.25,74.07,0,0,0,0,0.25,74.07
47,Bank of India Apps,0.24,88.76,0,0,0,0,0.24,88.76
48,HSBC Bank Apps,0.18,110.45,0,0.1,0,0,0.18,110.56
49,INDIE - Indus Ind,0.16,30.77,0,0,0,0,0.16,30.77
50,Tamilnad Mercantile Bank Apps,0.1,29.13,0,0,0,0,0.1,29.13
51,Indian Overseas Bank Apps,0.09,24.83,0,0,0,0,0.09,24.83
52,Fave,0.09,8.29,0,0,0,0,0.09,8.29
53,Shriram One,0.09,10.06,0,0,0,0,0.09,10.06
54,Ultracash,0.08,5.5,0,0,0,0,0.08,5.5
55,TataNeu,0.08,11.36,0,0,0,0,0.08,11.36
56,City Union Bank Apps,0.07,22.07,0,0,0,0,0.07,22.07
57,IDBI Bank Apps,0.07,35.22,0,0,0,0,0.07,35.22
58,Citi Bank Apps,0.07,60.24,0,0,0,0,0.07,60.24
59,Mobikwik,0.06,8.71,0,0,0,0,0.06,8.71
60,DIGIKHATA,0.05,20.12,0,0,0,0,0.05,20.12
61,Bank of Maharashtra Apps,0.04,8.79,0,0,0,0,0.04,8.79
62,MakeMyTrip,0.04,22.58,0,0,0,0,0.04,22.58
63,Karur Vysya Bank Apps,0.04,14.83,0,0,0,0,0.04,14.83
64,Timepay,0.04,1.2,0,0,0,0,0.04,1.2
65,NSDL Payments Bank Apps,0.03,5.89,0,0,0,0,0.03,5.89
66,Equitas Small Finance Bank Apps,0.03,19.96,0,0,0,0,0.03,19.96
67,Punjab Sind Bank Apps,0.03,14.19,0,0,0,0,0.03,14.19
68,Allahabad Bank Apps,0.03,6.93,0,0,0,0,0.03,6.93
69,CBDC Apps,0.2,8.49,0,0,0.01,0.46,0.22,8.95
70,Others,0.11,26.81,0,0,0,0,0.11,26.81
