Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe,5642.66,901006.65,0,0,0,0,5642.66,901006.65
2,Google Pay,4375.29,629285.36,0,0,0,0,4375.29,629285.36
3,Paytm Payments Bank App,1442.58,165694.96,4.38,8.39,0.75,1342.34,1573.61,191555.71
4,Cred,105.31,37293.27,0,0,0,0,105.31,37293.27
5,Axis Bank Apps,13.29,2657.21,73.58,3439.12,0.03,3.68,86.9,6100.01
6,Amazon Pay,54.16,5982.84,0,0,0,0,54.16,5982.84
7,ICICI Bank Apps,28.73,11167.31,4.46,534.86,6.9,9182.39,40.09,20884.56
8,Fampay,34.23,392.53,0,0,0,0,34.23,392.53
9,Yes Bank Apps,27.99,12305.58,0,0,0.37,63.28,28.37,12368.87
10,Kotak Mahindra Bank Apps,26.36,4738.2,0,0,0,0,26.36,4738.2
11,WhatsApp,25.25,2113.01,0,0,0,0,25.25,2113.01
12,BHIM,24.3,8431.47,0,0,0,0,24.3,8431.47
13,HDFC Bank Apps,23.68,6095.52,0,0,0,0.03,23.68,6095.54
14,Bajaj Finserv,18.08,2580.43,0,0,0,0,18.08,2580.43
15,Airtel Payments Bank Apps,12.26,851.64,0,0,0,0,12.54,883.36
16,Groww,6.58,4039.81,0,0,0,0,6.58,4039.81
17,State Bank of India Apps,6.13,2362.05,0,0,0.03,0.85,6.16,2362.9
18,Samsung Pay,6.08,557.26,0,0,0,0,6.08,557.26
19,Federal Bank Apps,5.95,745.4,0,0,0,0.01,5.95,745.41
20,IDFC Bank Apps,5.24,1306.5,0,0,0,0,5.24,1306.5
21,Mobikwik,4.95,1580.3,0,0,0,0,4.95,1580.3
22,India Post Payments Bank Apps,4.87,454.5,0,0,0,0,4.87,454.5
23,Jupiter,4.86,656.67,0,0,0,0,4.86,656.67
24,Deutsche Bank Apps,3.71,223.34,0,0,0,0.03,3.71,223.36
25,Standard Chartered Bank Apps,3.17,249.27,0,0,0.47,157.36,3.63,406.63
26,Canara Bank Apps,2.55,719.5,0,0,0,0,2.55,719.5
27,RBL Bank Apps,1.93,697.43,0,0.01,0.21,55.79,2.14,753.23
28,slice,1.96,403.07,0,0,0,0,1.96,403.07
29,Jio Payments Bank Apps,1.35,125.06,0,0,0,0,1.35,125.06
30,Punjab National Bank Apps,1.26,276.47,0,0,0,0,1.26,276.47
31,Omnicard,1.16,36.26,0,0,0,0,1.16,36.26
32,Bank of Baroda Apps,1.05,453.4,0,0,0,10.68,1.05,464.08
33,IndusInd Bank Apps,1.05,203.58,0,0,0,0,1.05,203.58
34,Union Bank Apps,1.02,405.74,0,0,0,0,1.02,405.74
35,SLICE,0.95,32.65,0,0,0,0,0.95,32.65
36,DBS Digibank Apps,0.78,245.47,0,0,0,1.47,0.79,246.94
37,GoKiwi,0.77,104.27,0,0,0,0,0.77,104.27
38,Karnataka Bank Apps,0.72,144.87,0,0,0,0.01,0.72,144.89
39,Navi,0.69,43.86,0,0,0,0,0.69,43.86
40,AU Small Finance Bank Apps,0.68,252.89,0,0,0,0,0.68,252.89
41,Central Bank of India Apps,0.58,136.84,0,0,0,0,0.58,136.84
42,Indian Bank Apps,0.4,98.27,0,0,0,8.79,0.4,107.06
43,Shriram One,0.33,19.47,0,0,0,0,0.33,19.47
44,Bajaj Pay Wallet,0.32,72.38,0,0,0,0,0.32,72.38
45,South Indian Bank Apps,0.3,86.96,0,0,0,0,0.3,86.96
46,Bank of India Apps,0.29,103.82,0,0,0,0,0.29,103.82
47,UCO Bank Apps,0.29,94.81,0,0,0,0,0.29,94.81
48,Mobikwik,0.28,38.53,0,0,0,0,0.28,38.53
49,Fino Payments bank Apps,0.27,26.7,0,0,0,0,0.27,26.7
50,INDIE - Indus Ind,0.2,35.32,0,0,0,0,0.2,35.32
51,HSBC Bank Apps,0.2,123.63,0,0.08,0,0,0.2,123.7
52,Tamilnad Mercantile Bank Apps,0.11,31.47,0,0,0,0,0.11,31.47
53,Indian Overseas Bank Apps,0.11,27.85,0,0,0,0,0.11,27.85
54,Ultracash,0.08,5.06,0,0,0,0,0.08,5.06
55,TataNeu,0.08,10.49,0,0,0,0,0.08,10.49
56,IDBI Bank Apps,0.07,38.61,0,0,0,0,0.07,38.61
57,City Union Bank Apps,0.07,22.76,0,0,0,0,0.07,22.76
58,DIGIKHATA,0.07,25.8,0,0,0,0,0.07,25.8
59,PAYTMWALLET,0.07,4.53,0,0,0,0,0.07,4.53
60,Citi Bank Apps,0.07,70.44,0,0,0,0,0.07,70.44
61,Fave,0.06,4.28,0,0,0,0,0.06,4.28
62,FIFEDERAL,0.05,7.12,0,0,0,0,0.05,7.12
63,Bank of Maharashtra Apps,0.04,8.1,0,0,0,0,0.04,8.1
64,MakeMyTrip,0.04,22.2,0,0,0,0,0.04,22.2
65,NSDL Payments Bank Apps,0.04,6.36,0,0,0,0,0.04,6.36
66,Karur Vysya Bank Apps,0.04,13.69,0,0,0,0,0.04,13.69
67,Equitas Small Finance Bank Apps,0.03,21.86,0,0,0,0,0.03,21.86
68,Allahabad Bank Apps,0.03,7.01,0,0,0,0,0.03,7.01
69,DHANI,0.03,2.01,0,0,0,0,0.03,2.01
70,CBDC Apps,0.72,25.12,0,0,0.05,0.8,0.77,25.91
71,Other,0.12,38.33,0,0,0,0,0.12,38.33
