Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe #,7905.54,1169290.03,0,0,0,0,7905.54,1169290.03
2,Google Pay #,6201.81,849327.38,0,0,0,0,6201.81,849327.38
3,Paytm (OCL) #,1165.01,129584.98,0,0,0,0,1165.01,129584.98
4,Navi #,157.51,8841.9,0,0,0,0,157.51,8841.9
5,Cred #,152.28,55202.12,0,0,0,0,152.28,55202.12
6,Axis Bank Apps,21.97,4527.19,117.7,2300.48,0.01,1.86,139.68,6829.53
7,Amazon Pay #,79.55,9205.72,0,0,0,0,79.55,9205.72
8,FamApp by Trio #,69.9,825.19,0,0,0,0,69.9,825.19
9,ICICI Bank Apps,54.77,20505.95,0.01,10,2.76,3171.01,57.54,23686.95
10,Whatsapp #,55.07,4137.17,0,0,0,0,55.07,4137.17
11,Kotak Mahindra Bank Apps,51.92,7565.22,0,0,0,0,51.92,7565.22
12,super.money #,49.68,2167.86,0,0,0,0,49.68,2167.86
13,HDFC Bank Apps,39.13,10426.92,0.27,0.39,0.01,0.67,39.41,10427.97
14,Yes Bank Apps,36.37,10230.68,0,0.01,0.42,14.79,36.79,10245.47
15,BHIM #,29.9,10170.6,0,0,0,0,29.9,10170.6
16,Airtel Payments Bank Apps,20.03,1504.27,0,0,0,0.08,20.03,1504.36
17,Mobikwik #,17.2,2995.42,0,0,0,0,17.2,2995.42
18,Groww #,15.35,11862.09,0,0,0,0,15.35,11862.09
19,Flipkart UPI #,14.62,825.95,0,0,0,0,14.62,825.95
20,Slice #,12.19,907.37,0,0,0,0,12.19,907.37
21,State Bank of India Apps,11.73,3527.88,0,0,0,0,11.73,3527.88
22,Bajaj Finserv #,10.66,2330.26,0,0,0,0,10.66,2330.26
23,India Post Payments Bank Apps,10.11,1507.56,0,0,0,0,10.11,1507.56
24,IDFC Bank Apps,9.32,2162.46,0,0,0,0.39,9.33,2162.85
25,Samsung Pay #,8.56,664.7,0,0,0,0,8.56,664.7
26,Jupiter Money #,6.36,873.89,0,0,0,0,6.36,873.89
27,Fi Money #,3.44,421.4,0,0,0,0,3.44,421.4
28,Punjab National Bank Apps,3.31,785.24,0,0,0,0,3.31,785.24
29,Canara Bank Apps,3.27,898.89,0,0,0,0,3.27,898.89
30,Jio Payments Bank Apps,3.23,269.69,0,0,0,0,3.23,269.69
31,Indian Bank Apps,3.11,513.43,0,0,0,0,3.11,513.43
32,Federal Bank Apps,2.96,542.57,0,0,0,0,2.96,542.57
33,Pop Club #,2.93,209.84,0,0,0,0,2.93,209.84
34,RBL Bank Apps,2.85,718.17,0,0.01,0.03,4.97,2.88,723.15
35,Deutsche Bank Apps,2.58,395.26,0,0,0,0.06,2.58,395.32
36,Timepay #,2.15,18.6,0,0,0,0,2.15,18.6
37,Omni Card,1.49,96.52,0,0,0,0,1.49,96.52
38,Bank of Baroda Apps,1.16,499.63,0,0,0,0,1.16,499.63
39,Central Bank of India Apps,1.11,219.02,0,0,0,0,1.11,219.02
40,Aditya Birla Capital Digital,0.97,37.97,0,0,0,0,0.97,37.97
41,Jammu and Kashmir Bank Apps,0.83,144,0,0,0,0,0.83,144
42,Union Bank Apps,0.8,282.02,0,0,0,0,0.8,282.02
43,HSBC Bank Apps,0.68,179.22,0,0.12,0,0.01,0.68,179.35
44,South Indian Bank Apps,0.61,179.8,0,0,0,0,0.61,179.8
45,DBS Digibank Apps,0.61,213.96,0,0,0,0.86,0.61,214.82
46,Fino Payments Bank Apps,0.58,70.11,0,0,0,0,0.58,70.11
47,AU Small Finance Bank Apps,0.49,146.98,0,0,0,0,0.49,146.98
48,Shri Ram One #,0.47,47.25,0,0,0,0,0.47,47.25
49,Digikhata,0.46,166.18,0,0,0,0,0.46,166.18
50,Kiwi #,0.41,66.74,0,0,0,0,0.41,66.74
51,IndusInd Bank Apps,0.36,91.48,0,0,0.01,1.81,0.36,93.29
52,UCO Bank Apps,0.31,77.02,0,0,0,0,0.31,77.02
53,Tata Neu #,0.31,74.8,0,0,0,0,0.31,74.8
54,One Card #,0.29,261.08,0,0,0,0,0.29,261.08
55,Suryoday Bank Apps,0.26,0.05,0,0,0,0,0.26,0.05
56,Bank of India Apps,0.2,45.85,0,0,0,0,0.2,45.85
57,Indian Overseas Bank Apps,0.2,56.07,0,0,0,0,0.2,56.07
58,Standard Chartered Bank Apps,0.2,131.76,0,0,0,0.07,0.2,131.83
59,Karnataka Bank Apps,0.16,34.88,0,0,0,0,0.16,34.88
60,Dhani,0.13,14.62,0,0,0,0,0.13,14.62
61,True Balance,0.13,16.51,0,0,0,0,0.13,16.51
62,Niyo Global #,0.1,55.57,0,0,0,0,0.1,55.57
63,NSDL Payments Bank Apps,0.09,12.1,0,0,0,0,0.09,12.1
64,Ultracash #,0.09,5.94,0,0,0,0,0.09,5.94
65,Rapipay,0.08,11.38,0,0,0,0,0.08,11.38
66,City Union Bank Apps,0.08,29.97,0,0,0,0,0.08,29.97
67,IDBI Bank Apps,0.08,29.72,0,0,0,0,0.08,29.72
68,Tamilnad Mercantile Bank Apps,0.07,24.55,0,0,0,0,0.07,24.55
69,Salary Se #,0.07,3.95,0,0,0,0,0.07,3.95
70,ESAF Small Finance Bank Apps,0.06,8.57,0,0,0,0,0.06,8.57
71,Bharat Pe #,0.05,7.27,0,0,0,0,0.05,7.27
72,Freo #,0.05,2.7,0,0,0,0,0.05,2.7
73,Karur Vysya Bank Apps,0.05,18.4,0,0,0,0,0.05,18.4
74,Equitas Small Finance Bank Apps,0.04,29.7,0,0,0,0,0.04,29.7
75,Punjab Sind Bank Apps,0.03,16.46,0,0,0,0,0.03,16.46
76,Cheq,0.02,1.62,0,0,0,0,0.02,1.62
77,Others,1.63,219.31,0,0,0.13,5.53,1.76,224.84
