Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,PhonePe #,6983.97,1028799.39,0,0,0,0,6983.97,1028799.39
2,Google Pay #,5341.23,735159.2,0,0,0,0,5341.23,735159.2
3,Paytm (OCL ) #,1128.97,123467.32,0,0,0,0,1128.97,123467.33
4,Cred #,142.56,48998.89,0,0,0,0,142.56,48998.89
5,Axis Bank Apps,15.45,3943.51,93.11,2389.15,0.01,2.4,108.57,6335.06
6,Amazon Pay #,72.41,7995.92,0,0,0,0,72.41,7995.92
7,Navi #,68.47,3574.61,0,0,0,0,68.47,3574.61
8,ICICI Bank Apps,42.13,17883.79,3.46,405.17,7.32,10240.43,52.91,28529.39
9,Fampay by Trio #,52.04,639.44,0,0,0,0,52.04,639.44
10,Kotak Mahindra Bank Apps,44.8,6488.28,0,0,0,0,44.8,6488.28
11,WhatsApp #,41.39,3215.18,0,0,0,0,41.39,3215.18
12,HDFC Bank Apps,35.25,8747.15,0.02,0.07,0,0.28,35.28,8747.5
13,BHIM,24.64,8756.73,0,0,0,0,24.64,8756.73
14,Yes Bank Apps,23.81,9556.22,0,0,0.27,26.99,24.08,9583.2
15,Airtel Payments Bank Apps,16.63,1210.03,0,0,0.85,0.29,17.48,1210.32
16,Groww #,15.18,12129.34,0,0,0,0,15.18,12129.34
17,Bajaj Finserv #,9.9,2309.58,0,0,0,0,9.9,2309.58
18,Slice #,9.41,708.27,0,0,0,0,9.41,708.27
19,Mobikwik #,9.11,2431.73,0,0,0,0,9.11,2431.73
20,State Bank of India Apps,8.06,2691.74,0,0,0,0,8.06,2691.74
21,IDFC Bank Apps,7.63,1725.98,0,0,0,0,7.63,1725.98
22,Flipkart UPI #,7.12,422.36,0,0,0,0,7.12,422.36
23,Samsung Pay #,6.6,558.51,0,0,0,0,6.6,558.51
24,India Post Payments Bank Apps,6.43,826.31,0,0,0,0,6.43,826.31
25,Federal Bank Apps,5.95,848.66,0,0,0,0,5.95,848.66
26,Jupiter Money #,5.76,781.04,0,0,0,0,5.76,781.04
27,Canara Bank Apps,3.04,834.74,0,0,0,0,3.04,834.74
28,Federal Bank Apps,2.68,460.69,0,0,0,0,2.68,460.69
29,Jio Payments Bank Apps,2.53,199.65,0,0,0,0,2.53,199.65
30,super.money #,2.5,75.7,0,0,0,0,2.5,75.7
31,Deutsche Bank Apps,2.43,344.47,0,0,0,0.06,2.44,344.53
32,Timepay #,2.16,20.43,0,0,0,0.08,2.16,20.52
33,Punjab National Bank Apps,2.15,563.99,0,0,0,0,2.15,563.99
34,Indian Bank Apps,1.95,342.38,0,0,0,2.45,1.95,344.83
35,RBL Bank Apps,1.41,336.63,0,0,0.05,18.14,1.46,354.77
36,Union Bank Apps,1.28,530.92,0,0,0,0,1.28,530.92
37,Omnicard #,1.2,54.57,0,0,0,0,1.2,54.57
38,Bank of Baroda Apps,1.07,477.6,0,0,0,0.39,1.07,477.99
39,Jammu and Kashmir Bank Apps,0.87,111.92,0,0,0,0,0.87,111.92
40,Central Bank of India Apps,0.83,180.98,0,0,0,0,0.83,180.98
41,AU Small Finance Bank Apps,0.66,202.05,0,0,0,0,0.66,202.05
42,South Indian Bank Apps,0.56,159.32,0,0,0,0,0.56,159.32
43,DBS Digibank Apps,0.52,205.42,0,0,0,0.61,0.53,206.03
44,POPClub#,0.45,34.71,0,0,0,0,0.45,34.71
45,Fino Payments bank Apps,0.44,58.11,0,0,0,0,0.44,58.11
46,HSBC Bank Apps,0.44,152.09,0,0.05,0,0,0.44,152.15
47,IndusInd Bank Apps,0.37,99.64,0,0,0.01,1.48,0.38,101.12
48,Shri Ram One #,0.3,35.64,0,0,0,0,0.3,35.64
49,Digikhata #,0.26,83.11,0,0,0,0,0.26,83.11
50,UCO Bank Apps,0.24,69.95,0,0,0,0,0.24,69.95
51,Karnataka Bank Apps,0.19,39.14,0,0,0,0,0.19,39.14
52,Standard Chartered Bank Apps,0.17,116.68,0,0,0,0.04,0.17,116.72
53,TataNeu #,0.17,26.16,0,0,0,0,0.17,26.16
54,Indian Overseas Bank Apps,0.15,45.13,0,0,0,0,0.15,45.13
55,Kiwi,0.15,30.35,0,0,0,0,0.15,30.35
56,Suryoday Bank Apps,0.13,0.03,0,0,0,0,0.13,0.03
57,Dhani #,0.11,15.91,0,0,0,0,0.11,15.91
58,Ultracash #,0.1,7.35,0,0,0,0,0.1,7.35
59,Bank of India Apps,0.08,20.12,0,0,0,0,0.08,20.12
60,Tamilnad Mercantile Bank Apps,0.08,24.19,0,0,0,0,0.08,24.19
61,City Union Bank Apps,0.08,28.82,0,0,0,0,0.08,28.82
62,IDBI Bank Apps,0.08,32.92,0,0,0,0,0.08,32.92
63,Aditya Birla Capital Digital Limited,0.08,3.7,0,0,0,0,0.08,3.7
64,NSDL Payments Bank Apps,0.07,10.63,0,0,0,0,0.07,10.63
65,Citi Bank Apps,0.06,33.95,0,0,0.01,0.59,0.07,34.54
66,Bank of Maharashtra Apps,0.06,13.25,0,0,0,0.02,0.06,13.27
67,Niyo Global #,0.06,28.59,0,0,0,0,0.06,28.59
68,Karur Vysya Bank Apps,0.06,20.69,0,0,0,0,0.06,20.69
69,Rapi Pay #,0.04,5.95,0,0,0,0,0.04,5.95
70,Equitas Small Finance Bank Apps,0.04,28.2,0,0,0,0,0.04,28.2
71,Punjab Sind Bank Apps,0.03,14.96,0,0,0,0,0.03,14.96
72,Allahabad Bank Apps,0.02,5.19,0,0,0,0,0.02,5.19
73,Other Apps,1.34,191.87,0,0.08,0.15,3.99,1.48,195.85
