Sr.No.,Application Name,Volume Customer(Mn),Value Customer (Cr),Volume B2C (Mn),Value B2C (Cr),Volume B2B(Mn),Value B2B(Cr),Volume (Mn),Value (Cr)
1,Airtel Payments Bank Apps,6.38,506.14,0,0,-,-,6.38,506.2
2,Allahabad Bank Apps,0.02,6.79,-,-,-,-,0.02,6.79
3,Amazon Pay,68.4,6541.84,-,-,-,-,68.4,6541.84
4,AU Small Finance Bank Apps,0.38,120.24,-,-,-,-,0.38,120.24
5,Axis Bank Apps,6.96,1217.71,0.11,11.05,45.53,39.61,52.6,1268.38
6,Bajaj Finserv,1.16,85.49,-,-,-,-,1.16,85.49
7,Bajaj Markets,0.01,1.2,-,-,-,-,0.01,1.2
8,Bank of Baroda Apps,0.83,347.72,0,0,-,-,0.83,347.72
9,Bank of India Apps,0.13,41.82,-,-,-,-,0.13,41.82
10,Bank of Maharashtra Apps,0.06,15.77,-,-,-,-,0.06,15.77
11,BHIM,22.6,7527.98,-,-,-,-,22.6,7527.98
12,Canara Bank Apps,0.34,109.78,-,-,-,-,0.34,109.78
13,Central Bank of India Apps,0.15,54.06,-,-,-,-,0.15,54.06
14,Citi Bank Apps,0.13,63.54,0,0,-,-,0.13,63.54
15,City Union Bank Apps,0.03,8.72,-,-,-,-,0.03,8.72
16,Cointab,0.06,23.99,-,-,-,-,0.06,23.99
17,Cred,13.4,17583.25,-,-,-,-,13.4,17583.25
18,DBS Digibank Apps,0.46,171.69,-,-,-,-,0.46,171.69
19,Deutsche Bank Apps,1.51,99.12,0,0,-,-,1.51,99.12
20,Dhanlaxmi Bank Apps,0.01,2.7,-,-,-,-,0.01,2.7
21,Equitas Small Finance Bank Apps,0.01,3.87,-,-,-,-,0.01,3.87
22,Fave,0.12,6.94,-,-,-,-,0.12,6.94
23,Federal Bank Apps,3.55,494.21,-,-,-,-,3.55,494.21
24,Fino Payments bank Apps,0.05,3.17,-,-,-,-,0.05,3.17
25,Finshell Pay,0.1,5.3,-,-,-,-,0.1,5.3
26,GoIbibo,0.01,3.87,-,-,-,-,0.01,3.87
27,Google Pay,2025.89,355137.2,-,-,-,-,2025.89,355137.2
28,Groww,0.72,416.73,-,-,-,-,0.72,416.73
29,HDFC Bank Apps,8.24,2066.22,-,-,-,-,8.24,2066.22
30,HSBC Bank Apps,0.11,61.38,0,0,0,0,0.11,61.39
31,ICICI Bank Apps,35.25,6931.44,4.11,3270.67,0.01,0.03,39.37,10202.14
32,IDBI Bank Apps,0.03,15.71,-,-,-,-,0.03,15.71
33,IDFC Bank Apps,7.03,663.65,0,0,-,-,7.03,663.65
34,India Post Payments Bank Apps,3.98,467.34,-,-,-,-,3.98,467.34
35,Indian Bank Apps,0.17,53.3,0,0.38,-,-,0.17,53.68
36,Indian Overseas Bank Apps,0.01,2.98,-,-,-,-,0.01,2.98
37,IndusInd Bank Apps,1,1645.13,-,-,-,-,1,1645.13
38,Janata Sahakari Bank Apps,0.01,4.47,-,-,-,-,0.01,4.47
39,Jio Payments Bank Apps,1.87,116.34,-,-,-,-,1.87,116.34
40,Jupiter,1.89,223.22,-,-,-,-,1.89,223.22
41,Jupiter Edge (LivQuick PPI),0.13,8.72,-,-,-,-,0.13,8.72
42,Karnataka Bank Apps,0.32,43.13,-,-,-,-,0.32,43.13
43,Karur Vysya Bank Apps,0.04,15.91,-,-,-,-,0.04,15.91
44,Kotak Mahindra Bank Apps,8.33,1758.64,0.01,3.64,-,-,8.33,1762.28
45,MakeMyTrip,0.11,51.45,-,-,-,-,0.11,51.45
46,MI Pay,0.17,29.61,-,-,-,-,0.17,29.61
47,Mobikwik,2.31,404.63,-,-,-,-,2.31,404.63
48,NSDL Payments Bank Apps,0.02,2.44,-,-,-,-,0.02,2.44
49,Paytm Payments Bank App,778.87,89388.78,0.35,412.2,-,-,877.5,102119.9
50,PhonePe,2732.59,501474.48,-,-,-,-,2732.59,501474.48
51,Punjab National Bank Apps,0.08,40.68,-,-,-,-,0.08,40.68
52,Punjab Sind Bank Apps,0.01,5.93,-,-,-,-,0.01,5.93
53,RBL Bank Apps,0.35,121,0.07,2.89,0,0,0.42,123.89
54,Samsung Pay,4.07,468.23,-,-,-,-,4.07,468.23
55,South Indian Bank Apps,0.14,46.66,-,-,-,-,0.14,46.66
56,Standard Chartered Bank Apps,0.13,69.13,-,-,-,-,0.13,69.13
57,State Bank of India Apps,3.83,1947.1,0,0,-,-,3.83,1947.1
58,Tamilnad Mercantile Bank Apps,0.03,4.02,-,-,-,-,0.03,4.02
59,TataNeu,0.12,19.41,-,-,-,-,0.12,19.41
60,TJSB Bank Apps,0.01,2.1,-,-,-,-,0.01,2.1
61,UCO Bank Apps,0.22,42.3,-,-,-,-,0.22,42.3
62,Ultracash,0.03,3.32,-,-,-,-,0.03,3.32
63,Union Bank Apps,0.45,199.8,-,-,-,-,0.45,199.8
64,Utkarsh Small Finance Bank Apps,0.01,3.47,-,-,-,-,0.01,3.47
65,WhatsApp,23.04,429.06,-,-,-,-,23.04,429.06
66,Yes Bank Apps,41.67,9889.56,2.35,1257.6,0,0,44.03,11147.17
67,YuvaPay,0.03,58.31,-,-,-,-,0.03,58.31
68,Others,0.02,6.34,-,-,-,-,0.02,6.34
